youtube_id,total_comments,total_languages,undetected_languages,af,am,ar,az,be,bg,bn,bs,ca,ceb,co,cs,cy,da,de,el,en,eo,es,et,eu,fa,fi,fr,fy,ga,gd,gl,gu,ha,haw,he,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iw,ja,jw,ka,kk,km,kn,ko,ku,ky,la,lb,lo,lt,lv,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,nl,no,ny,or,pa,pl,ps,pt,ro,ru,rw,si,sk,sl,sm,sn,so,sq,sr,st,su,sv,sw,ta,te,tg,th,tk,tl,tr,tt,ug,uk,ur,uz,vi,xh,yi,yo,zh,zh-cn,zh-tw,zu
Y4iIuhIUUx4,106,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,0,9,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
YPSJDEH0UIE,963,61,0,1,2,19,2,1,0,0,1,0,0,0,2,0,3,6,0,412,1,52,2,0,1,34,10,0,1,0,1,2,0,0,8,20,0,0,1,2,0,4,0,0,4,0,114,0,2,0,1,0,67,0,0,16,2,0,3,1,0,0,1,2,0,22,2,6,0,1,3,1,0,0,0,0,1,14,2,9,0,1,1,1,0,0,0,0,3,0,0,3,2,0,0,0,1,0,3,14,0,0,1,3,0,0,0,0,0,56,0,0,0
RJbjASZpcBI,217,21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,5,0,50,0,8,1,0,0,4,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,26,0,0,0,1,0,83,0,0,2,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
Cz913rkgGkg,1068,58,0,1,1,4,0,0,2,2,1,1,0,0,9,2,3,5,2,383,1,25,6,0,3,24,10,0,0,0,1,0,0,0,3,21,0,0,1,0,0,41,0,0,1,0,32,0,1,0,0,0,262,0,0,14,1,0,0,0,1,0,0,0,0,22,18,3,0,3,6,4,0,0,0,3,0,32,2,7,0,0,3,5,0,0,0,0,0,0,0,4,1,0,1,0,13,0,9,7,0,0,0,0,0,2,1,0,0,37,0,0,0
T4zZWKv7ANQ,495,42,0,0,2,1,2,1,2,0,2,0,0,0,0,1,3,1,0,215,1,10,1,2,0,18,4,0,0,0,0,0,0,0,2,16,0,0,0,0,0,2,0,0,6,0,26,0,0,1,0,0,97,0,0,1,2,0,0,0,0,0,0,0,1,10,0,0,0,0,1,2,0,0,0,3,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,1,4,0,0,0,0,0,3,0,0,0,35,0,0,0
jXcuEAaZ0Tk,55,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,6,0,0,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0
047UJ2uGF8M,4271,86,0,5,7,38,46,9,29,1,0,2,0,0,16,2,8,389,1,1296,10,129,29,1,1,146,25,0,1,0,3,3,0,0,6,127,0,1,0,4,4,22,0,0,15,0,203,0,4,20,16,1,190,1,3,33,4,3,18,2,0,0,7,2,10,166,6,2,0,11,3,6,0,1,1,10,2,34,8,287,1,6,4,2,0,0,0,0,46,0,0,20,10,1,0,0,1,0,45,288,0,4,11,6,0,19,2,0,0,303,0,0,0
Kg7KQotNgKA,526,42,0,0,0,1,1,1,1,0,1,0,0,0,0,3,4,4,0,249,0,3,8,0,0,20,8,0,1,0,1,0,0,0,2,9,0,1,0,0,0,0,0,0,3,0,51,0,0,0,1,0,99,1,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,1,1,1,0,0,0,1,0,4,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,2,0,0,0,0,0,1,0,0,0,21,0,0,0
BLRbN-fptmY,73,20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,22,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,15,0,1,0,1,0,8,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0
dHz35uVUTyQ,2539,80,0,5,5,34,15,4,1,4,2,2,0,0,6,1,5,29,1,894,5,66,14,4,6,92,20,0,2,0,3,0,0,0,24,121,0,5,3,6,4,8,0,2,11,0,153,0,24,3,5,0,151,0,1,43,5,0,9,2,1,0,0,3,0,186,2,11,0,5,6,9,0,0,0,10,0,19,4,33,0,1,6,6,0,0,0,1,4,0,0,19,8,1,0,0,3,0,6,115,0,2,5,3,0,22,1,0,0,190,0,0,0
