youtube_id,total_comments,total_languages,undetected_languages,af,am,ar,az,be,bg,bn,bs,ca,ceb,co,cs,cy,da,de,el,en,eo,es,et,eu,fa,fi,fr,fy,ga,gd,gl,gu,ha,haw,he,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iw,ja,jw,ka,kk,km,kn,ko,ku,ky,la,lb,lo,lt,lv,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,nl,no,ny,or,pa,pl,ps,pt,ro,ru,rw,si,sk,sl,sm,sn,so,sq,sr,st,su,sv,sw,ta,te,tg,th,tk,tl,tr,tt,ug,uk,ur,uz,vi,xh,yi,yo,zh-cn,zh-tw,zu
Y4iIuhIUUx4,106,15,657,0,0,0,0,0,0,1,0,0,0,0,1,0,0,8,0,381,0,12,1,0,0,0,14,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,21,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YPSJDEH0UIE,963,23,2973,0,0,0,0,0,0,1,0,0,0,0,13,0,3,24,0,946,0,35,1,0,0,51,28,0,0,0,0,0,0,0,0,37,0,0,0,0,0,2,0,0,13,0,34,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,2,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
RJbjASZpcBI,217,17,897,0,0,0,0,0,0,0,0,0,0,0,1,0,5,14,0,386,0,12,1,0,0,13,16,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cz913rkgGkg,1068,22,3838,0,0,0,0,0,0,7,0,0,0,0,18,0,6,42,4,998,0,41,15,0,0,46,25,0,0,0,0,0,0,0,0,40,0,0,0,0,0,21,0,0,16,0,34,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,6,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
T4zZWKv7ANQ,495,19,1158,0,0,0,0,0,0,0,0,0,0,0,1,0,4,21,0,661,0,16,4,0,0,27,8,0,0,0,0,0,0,0,0,25,0,0,0,0,0,1,0,0,1,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jXcuEAaZ0Tk,55,9,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,54,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
047UJ2uGF8M,4271,30,11792,0,0,3,2,0,0,5,0,0,0,0,52,0,17,112,3,4099,0,120,41,1,0,264,84,0,0,0,0,0,0,0,0,323,0,0,0,1,0,16,0,0,40,0,144,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,15,1,0,0,1,14,0,15,8,6,0,0,0,0,0,0,0,1,0,0,0,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
Kg7KQotNgKA,526,22,1840,0,0,0,1,0,0,7,0,0,0,0,2,0,4,27,0,996,0,7,1,0,0,25,33,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,10,0,13,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,8,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLRbN-fptmY,73,10,198,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,70,0,0,1,0,0,6,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dHz35uVUTyQ,2539,29,7373,0,0,1,0,0,0,3,0,0,0,0,14,0,17,66,0,3725,0,82,8,0,0,202,60,0,0,0,0,0,0,0,0,247,0,0,0,1,0,8,0,0,26,0,93,0,0,0,0,0,2,0,0,0,0,0,8,1,0,0,0,0,0,0,0,13,0,0,15,2,0,0,0,19,0,7,5,1,0,0,1,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
vrZPnpaT3Ts,6801,32,20867,0,0,5,0,0,0,5,0,0,0,0,52,0,43,340,12,10455,0,280,25,0,0,529,178,0,0,0,0,0,0,0,0,448,0,0,0,2,0,33,0,0,93,0,275,0,0,0,0,1,3,0,0,0,0,0,6,1,0,0,0,0,0,0,0,51,0,0,29,1,0,0,0,68,0,17,24,2,0,0,3,7,0,0,0,1,0,0,0,24,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
8V5yzu158XE,678,24,2515,0,0,0,1,0,0,2,0,0,0,0,7,0,3,28,1,935,0,29,19,0,0,40,14,0,0,0,0,0,0,0,1,35,0,0,0,0,0,5,0,0,9,0,24,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,10,0,0,7,0,0,0,0,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0E5YMIUgpAU,3198,30,10310,0,0,4,9,0,0,7,0,0,0,0,31,0,22,111,1,5949,0,104,7,1,0,102,69,0,0,0,0,0,0,0,1,56,0,0,0,1,0,5,0,0,43,0,132,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,34,0,0,0,0,21,0,2,5,1,0,0,3,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
x0Lo7nqjMoc,113,9,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,150,0,4,0,0,0,6,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y_xBoYMjWik,6778,31,13997,0,0,6,2,0,0,3,0,0,0,0,32,0,13,196,0,5980,0,245,28,3,0,143,67,0,0,0,0,0,0,0,1,70,0,0,0,2,0,19,0,0,76,0,363,0,0,0,0,0,3,0,0,0,0,0,3,1,0,0,0,0,0,0,0,36,0,0,25,0,0,0,0,25,0,11,2,0,0,0,2,3,0,0,0,0,0,0,0,32,0,0,1,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
QHD8M6PswwU,506,13,1501,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,150,0,4,1,0,0,29,5,0,0,0,0,0,0,0,1,41,0,0,0,0,0,0,0,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hk0Xgy03UIA,14054,35,38179,0,0,8,3,0,0,8,0,0,0,0,43,0,49,368,17,14486,0,373,64,5,0,1140,395,0,0,0,0,0,0,0,1,1474,0,0,0,1,0,43,0,0,161,0,536,0,0,0,0,0,3,0,0,0,0,0,17,4,0,0,0,0,0,0,0,72,0,0,60,4,0,0,0,100,0,26,31,4,0,0,10,8,0,0,0,0,0,0,0,37,0,0,1,0,2,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0
TWnjHmBrhNs,195,18,851,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2,0,286,0,14,0,1,0,10,27,0,0,0,0,0,0,0,0,11,0,0,0,0,0,6,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y4Tr8LE5yV4,517,18,1824,0,0,0,2,0,0,2,0,0,0,0,5,0,1,28,0,529,0,10,1,0,0,28,31,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l_eiDqD4MDg,535,23,1846,0,0,0,0,0,0,1,0,0,0,0,1,0,8,43,1,795,0,20,13,0,0,32,15,0,0,0,0,0,0,0,0,29,0,0,0,1,0,4,0,0,14,0,26,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QIbfPcIfl64,199,16,537,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,0,168,0,6,1,1,0,14,2,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E1ZqORJgcEw,97,13,248,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,99,0,0,1,0,0,4,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
