youtube_id,total_comments,total_languages,undetected_languages,af,am,ar,az,be,bg,bn,bs,ca,ceb,co,cs,cy,da,de,el,en,eo,es,et,eu,fa,fi,fr,fy,ga,gd,gl,gu,ha,haw,he,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iw,ja,jw,ka,kk,km,kn,ko,ku,ky,la,lb,lo,lt,lv,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,nl,no,ny,or,pa,pl,ps,pt,ro,ru,rw,si,sk,sl,sm,sn,so,sq,sr,st,su,sv,sw,ta,te,tg,th,tk,tl,tr,tt,ug,uk,ur,uz,vi,xh,yi,yo,zh,zh-cn,zh-tw,zu
_btxV8tJM7w,262179,97,2,107,141,43909,792,38,25,178,59,157,0,0,613,405,809,8908,36,94184,269,9144,1574,970,6904,3247,2586,0,166,0,357,9,0,0,245,381,0,202,58,668,337,24776,0,187,1991,0,1820,0,259,48,108,34,3227,75,8,599,112,44,932,117,91,0,14,32,31,307,8927,1010,0,123,1869,373,0,9,9,617,985,1719,616,572,780,32,288,662,0,0,0,226,35,0,0,787,1334,21,30,0,245,0,2608,14455,0,596,56,1060,0,670,466,0,0,6278,0,0,87
_btxV8tJM7w,262179,97,2,107,141,43909,792,38,25,178,59,157,0,0,613,405,809,8908,36,94184,269,9144,1574,970,6904,3247,2586,0,166,0,357,9,0,0,245,381,0,202,58,668,337,24776,0,187,1991,0,1820,0,259,48,108,34,3227,75,8,599,112,44,932,117,91,0,14,32,31,307,8927,1010,0,123,1869,373,0,9,9,617,985,1719,616,572,780,32,288,662,0,0,0,226,35,0,0,787,1334,21,30,0,245,0,2608,14455,0,596,56,1060,0,670,466,0,0,6278,0,0,87
dYRITmpFbJ4,253441,97,2,146,345,2295,412,39,77,1370,80,205,0,0,277,315,1380,3806,110,146580,323,8308,2321,818,515,2240,2255,0,163,0,226,5,0,0,416,572,0,305,177,505,155,16279,0,108,4567,0,5818,0,553,51,464,37,3998,79,13,1189,74,181,648,157,109,0,21,164,32,1137,5318,1403,0,555,2294,424,0,67,23,2019,79,3961,379,1199,456,83,135,811,0,0,0,151,66,0,0,1164,720,133,13,0,284,0,1706,2916,0,145,67,142,0,1284,340,0,0,10788,0,0,58
dYRITmpFbJ4,253441,97,2,146,345,2295,412,39,77,1370,80,205,0,0,277,315,1380,3806,110,146580,323,8308,2321,818,515,2240,2255,0,163,0,226,5,0,0,416,572,0,305,177,505,155,16279,0,108,4567,0,5818,0,553,51,464,37,3998,79,13,1189,74,181,648,157,109,0,21,164,32,1137,5318,1403,0,555,2294,424,0,67,23,2019,79,3961,379,1199,456,83,135,811,0,0,0,151,66,0,0,1164,720,133,13,0,284,0,1706,2916,0,145,67,142,0,1284,340,0,0,10788,0,0,58
eQNHDV7lKgE,237355,97,0,1685,493,3612,856,72,128,173,235,167,0,0,533,149,470,3535,40,143330,318,5610,1204,212,623,5049,2129,0,152,0,256,13,0,0,568,4395,0,512,87,376,100,1305,0,78,2206,0,6721,0,293,132,381,25,3454,72,31,2062,565,64,604,134,69,0,47,119,61,5035,378,1206,0,303,1023,395,0,46,22,6570,145,2805,533,1304,67,108,1152,685,0,0,0,490,115,0,0,859,656,74,14,0,322,0,217,5598,0,163,148,201,0,1235,137,0,0,8327,0,0,55
eQNHDV7lKgE,237355,97,0,1685,493,3612,856,72,128,173,235,167,0,0,533,149,470,3535,40,143330,318,5610,1204,212,623,5049,2129,0,152,0,256,13,0,0,568,4395,0,512,87,376,100,1305,0,78,2206,0,6721,0,293,132,381,25,3454,72,31,2062,565,64,604,134,69,0,47,119,61,5035,378,1206,0,303,1023,395,0,46,22,6570,145,2805,533,1304,67,108,1152,685,0,0,0,490,115,0,0,859,656,74,14,0,322,0,217,5598,0,163,148,201,0,1235,137,0,0,8327,0,0,55
6SbXGBC7GU4,205504,97,0,401,145,26018,1733,36,44,109,38,183,0,0,537,285,545,4213,28,84613,221,5172,1881,923,6368,2434,3209,0,132,0,159,13,0,0,233,395,0,321,98,454,239,7006,0,96,2315,0,2022,0,233,61,160,18,3971,85,13,516,124,51,465,259,97,0,19,48,68,468,2411,881,0,131,2244,649,0,16,7,749,1449,1216,433,710,254,31,179,639,0,0,0,295,55,0,0,818,557,25,16,0,380,0,774,22148,0,485,56,849,0,676,270,0,0,4786,0,0,69
6SbXGBC7GU4,205504,97,0,401,145,26018,1733,36,44,109,38,183,0,0,537,285,545,4213,28,84613,221,5172,1881,923,6368,2434,3209,0,132,0,159,13,0,0,233,395,0,321,98,454,239,7006,0,96,2315,0,2022,0,233,61,160,18,3971,85,13,516,124,51,465,259,97,0,19,48,68,468,2411,881,0,131,2244,649,0,16,7,749,1449,1216,433,710,254,31,179,639,0,0,0,295,55,0,0,818,557,25,16,0,380,0,774,22148,0,485,56,849,0,676,270,0,0,4786,0,0,69
gQlMMD8auMs,139901,97,0,219,456,4042,297,86,117,174,61,170,0,0,406,131,556,1426,94,70329,273,7552,837,205,552,2551,2477,0,92,0,281,9,0,0,598,2417,0,194,102,609,115,1009,0,64,1030,0,5774,0,405,83,424,23,4303,53,19,1030,198,54,553,69,38,0,50,41,87,3426,255,1236,0,298,1076,353,0,13,15,1106,145,2716,175,1226,54,49,338,348,0,0,0,218,99,0,0,939,229,84,16,0,566,0,137,2386,0,170,122,207,0,1000,131,0,0,6299,0,0,26
gQlMMD8auMs,139901,97,0,219,456,4042,297,86,117,174,61,170,0,0,406,131,556,1426,94,70329,273,7552,837,205,552,2551,2477,0,92,0,281,9,0,0,598,2417,0,194,102,609,115,1009,0,64,1030,0,5774,0,405,83,424,23,4303,53,19,1030,198,54,553,69,38,0,50,41,87,3426,255,1236,0,298,1076,353,0,13,15,1106,145,2716,175,1226,54,49,338,348,0,0,0,218,99,0,0,939,229,84,16,0,566,0,137,2386,0,170,122,207,0,1000,131,0,0,6299,0,0,26
