video_id,comment_count,total_likes,avg_likes_per_comment,title
EdzFkgaMcJk,56,323,5.767857142857143,[할수있셔] 인생의 회전목마🎠 #shorts
4hP8z3aDbxo,53,2295,43.301886792452834,彩領上大學「我交個校園情侶怎麼樣?」 打電話問JYP竟然回答「當然好啊!」｜【ITZY】
5BNGMryQ8Xk,52,28,0.5384615384615384,IU(아이유) - 2014학년도 수능 응원 메시지 (Supporting Message for the College Scholastic Ability Test)
o-PDthYLa6Y,51,48,0.9411764705882353,아이유(IU) 첫 단독콘서트 [REAL FANTASY] 공연 홍보 영상
pVomGgRdKb8,44,389,8.840909090909092,Namjoon said it himself! BTS paved the way for ASIA!! #bts #nevaplay #shorts
IGAImxTJ50w,25,495,19.8,恩採泳池玩超嗨突然發現「我忘記拆麥克風!」 采源守護兩季的瀏海遇到飛蟲自願放棄｜【LE SSERAFIM】
lu1pE0biSeU,24,841,35.041666666666664,海嫄重現童年造型英文演講第一名! 隊友自介全是動物Bae「我可是梁山麻醉槍!」｜【NMIXX】
5eq1mCNRt3s,16,677,42.3125,ITZY編舞變簡單的原因看了超心碎💔3成員曝膝蓋關節不好留真連彎腰都無法！｜#itzy
bRit85__beA,15,734,48.93333333333333,采源失誤名場面連Minji都忍不住模仿 柔理、恩妃爆料YENA早在群組裡嘟嘟嘟嘟!｜#lesserafim
TO_uf_14eOk,3,6,2.0,太妍默默幫忙改造少年收容所超暖心善良真誠又低調「成為有意義的禮物!」｜【Taeyeon】
