video_id,language,comment_count,percentage,total_comments,total_languages
RdXE6yoW-ak,hi,55,4.87,1129,23
RdXE6yoW-ak,fi,53,4.69,1129,23
RdXE6yoW-ak,ja,52,4.61,1129,23
RdXE6yoW-ak,es,45,3.99,1129,23
RdXE6yoW-ak,de,40,3.54,1129,23
RdXE6yoW-ak,it,23,2.04,1129,23
RdXE6yoW-ak,cs,18,1.59,1129,23
RdXE6yoW-ak,pl,15,1.33,1129,23
RdXE6yoW-ak,mt,9,0.8,1129,23
RdXE6yoW-ak,nl,6,0.53,1129,23
RdXE6yoW-ak,da,5,0.44,1129,23
RdXE6yoW-ak,ro,3,0.27,1129,23
RdXE6yoW-ak,bn,2,0.18,1129,23
RdXE6yoW-ak,el,2,0.18,1129,23
RdXE6yoW-ak,he,2,0.18,1129,23
RdXE6yoW-ak,sv,2,0.18,1129,23
RdXE6yoW-ak,az,1,0.09,1129,23
RdXE6yoW-ak,et,1,0.09,1129,23
RdXE6yoW-ak,lt,1,0.09,1129,23
RdXE6yoW-ak,pt,1,0.09,1129,23
RdXE6yoW-ak,sl,1,0.09,1129,23
48WTUOhaAwc,en,1000,86.43,1157,23
48WTUOhaAwc,fr,59,5.1,1157,23
48WTUOhaAwc,hi,42,3.63,1157,23
48WTUOhaAwc,fi,41,3.54,1157,23
48WTUOhaAwc,es,27,2.33,1157,23
48WTUOhaAwc,ja,25,2.16,1157,23
48WTUOhaAwc,de,16,1.38,1157,23
48WTUOhaAwc,cs,9,0.78,1157,23
48WTUOhaAwc,pl,9,0.78,1157,23
48WTUOhaAwc,it,8,0.69,1157,23
48WTUOhaAwc,nl,8,0.69,1157,23
48WTUOhaAwc,da,6,0.52,1157,23
48WTUOhaAwc,sv,6,0.52,1157,23
48WTUOhaAwc,bn,4,0.35,1157,23
48WTUOhaAwc,id,3,0.26,1157,23
48WTUOhaAwc,et,2,0.17,1157,23
48WTUOhaAwc,ko,2,0.17,1157,23
48WTUOhaAwc,ro,2,0.17,1157,23
48WTUOhaAwc,az,1,0.09,1157,23
48WTUOhaAwc,el,1,0.09,1157,23
48WTUOhaAwc,mt,1,0.09,1157,23
48WTUOhaAwc,pt,1,0.09,1157,23
48WTUOhaAwc,sl,1,0.09,1157,23
u7NLG0aO5hg,en,125,39.56,316,12
u7NLG0aO5hg,hi,31,9.81,316,12
