video_id,title,published_at,channel_id,channel_title,view_count,like_count,comment_count,total_comments_processed,languages
TodpdLpLo3g,"💋💋(,,. _ .,,)(,,. _ .,,) #IVE #아이브 #GAEUL #가을 #IVE_SCOUT #Shorts",2025-04-15T08:00:36Z,UC-Fnix71vRP64WXeo0ikd0Q,IVE,390292,33786,662,100,"{'ko': 63, 'unknown': 7, 'sq': 1, 'ro': 5, 'en': 9, 'fi': 1, 'so': 1, 'tr': 1, 'de': 1, 'nl': 1, 'fr': 1, 'ja': 3, 'hr': 1, 'sk': 1, 'es': 1, 'cs': 1, 'pl': 1, 'sw': 1}"
SA9NQBLALlo,[Special Clip] IVE &#39;TKO&#39; @3rd FAN CONCERT &#39;IVE SCOUT&#39;,2025-04-14T14:00:43Z,UC-Fnix71vRP64WXeo0ikd0Q,IVE,260508,18942,817,100,"{'en': 40, 'ko': 33, 'sw': 1, 'fr': 1, 'de': 3, 'unknown': 1, 'fi': 1, 'zh-tw': 1, 'cy': 8, 'pt': 2, 'es': 2, 'ja': 6, 'id': 1}"
r2tU_P9xD5o,우린 tomoda🧀 #IVE #아이브 #REI #레이 #LIZ #리즈 #LEESEO #이서 #IVE_SCOUT #Shorts,2025-04-14T08:20:01Z,UC-Fnix71vRP64WXeo0ikd0Q,IVE,651995,39150,552,100,"{'so': 1, 'ja': 6, 'ko': 64, 'en': 14, 'nl': 4, 'ro': 2, 'unknown': 4, 'de': 2, 'uk': 1, 'ru': 1, 'fr': 1}"
ny89YppjR9g,어떻게 떠가 폼폼푸린 ૮•ᴥ•ა💛 #IVE #아이브 #LEESEO #이서 #IVE_SCOUT #Shorts,2025-04-14T06:40:01Z,UC-Fnix71vRP64WXeo0ikd0Q,IVE,452821,33847,781,100,"{'it': 2, 'unknown': 5, 'cy': 1, 'ko': 63, 'en': 12, 'nl': 1, 'es': 1, 'et': 1, 'hu': 1, 'ja': 4, 'sl': 1, 'pt': 2, 'so': 1, 'no': 1, 'ro': 2, 'hr': 1, 'fi': 1}"
aajLXjXkqVU,🩵T•T #IVE #아이브 #IVE_SCOUT #Shorts,2025-04-13T13:00:05Z,UC-Fnix71vRP64WXeo0ikd0Q,IVE,1293019,57056,795,100,"{'ko': 73, 'en': 9, 'unknown': 2, 'ro': 1, 'sl': 1, 'cy': 1, 'ja': 4, 'sw': 1, 'da': 1, 'pt': 1, 'pl': 1, 'it': 2, 'de': 1, 'so': 1, 'hr': 1}"
RyMlm45OMuY,‧₊˚🐹♡⸝⸝🍫⋆ #IVE #아이브 #REI #레이 #IVE_SCOUT #Shorts,2025-04-13T01:30:19Z,UC-Fnix71vRP64WXeo0ikd0Q,IVE,646348,42100,750,100,"{'ko': 57, 'en': 16, 'ro': 5, 'ja': 8, 'unknown': 3, 'so': 1, 'cs': 1, 'de': 4, 'hu': 1, 'pt': 2, 'id': 1, 'tr': 1}"
BkRc9SOv-GE,Let them know TKO 💥🥊 #IVE #아이브 #GAEUL #가을 #IVE_SCOUT #Shorts,2025-04-12T13:40:00Z,UC-Fnix71vRP64WXeo0ikd0Q,IVE,300453,23245,493,100,"{'ko': 67, 'en': 17, 'unknown': 4, 'de': 2, 'cy': 1, 'ja': 6, 'da': 1, 'sl': 1, 'so': 1}"
sGzzQh232b0,𝐏𝐫𝐞𝐭𝐭𝐲 𝐆𝐢𝐫𝐥은 당당하게 걸어⋆.˚⟡ ࣪ ˖🩷 #IVE #아이브 #IVE_SCOUT #Shorts,2025-04-12T13:01:24Z,UC-Fnix71vRP64WXeo0ikd0Q,IVE,773905,40405,875,100,"{'ko': 73, 'unknown': 5, 'ja': 8, 'id': 1, 'ro': 1, 'et': 1, 'ca': 1, 'hu': 1, 'cy': 4, 'de': 1, 'sl': 1, 'so': 1, 'pt': 1, 'en': 1}"
D6vg63uFsi4,혼자가 아닌 둘이기니 🪽✨ with #RedVelvet #조이 #IVE #아이브 #REI #레이 #레드벨벳 #JOY #ATTITUDE #REBELHEART #Shorts,2025-04-12T02:30:09Z,UC-Fnix71vRP64WXeo0ikd0Q,IVE,2280172,72516,1085,100,"{'ko': 72, 'ro': 2, 'af': 1, 'en': 8, 'tl': 1, 'id': 1, 'unknown': 3, 'nl': 2, 'ja': 6, 'ca': 1, 'de': 2, 'cy': 1}"
xTRkGOaUWfE,2025 IVE THE 3RD FAN CONCERT ＜IVE SCOUT＞ 🎫 We&#39;re in IVE SCOUT 🎆 #IVE #아이브 #IVE_SCOUT #Shorts,2025-04-09T12:01:38Z,UC-Fnix71vRP64WXeo0ikd0Q,IVE,479390,25348,347,100,"{'ko': 71, 'ja': 7, 'es': 1, 'so': 1, 'en': 8, 'unknown': 6, 'ar': 1, 'fr': 2, 'tr': 2, 'cy': 1}"
V5RzaY-bg-U,𝑀𝐸𝑂𝑊 - #IVE #아이브 #LIZ #리즈 #Shorts,2025-04-08T10:32:45Z,UC-Fnix71vRP64WXeo0ikd0Q,IVE,1046481,46985,1195,100,"{'ro': 1, 'ko': 79, 'en': 6, 'unknown': 6, 'ja': 4, 'so': 1, 'af': 1, 'et': 1, 'ru': 1}"
7O3aRa8Sh2A,2025 IVE THE 3RD FAN CONCERT ＜IVE SCOUT＞ ✨ 미니브의 IVE SCOUT 탐험기 🔎🏕️ #IVE #아이브 #IVE_SCOUT #Shorts,2025-04-07T12:40:00Z,UC-Fnix71vRP64WXeo0ikd0Q,IVE,615637,34156,509,100,"{'ko': 79, 'unknown': 2, 'en': 8, 'it': 1, 'ja': 3, 'es': 1, 'no': 1, 'ca': 1, 'sl': 1, 'tl': 1, 'ru': 1, 'et': 1}"
0-7E5iBbJ58,𝖭𝖠𝖮𝖨 𝖱𝖤𝖨 𝖫𝗂𝖿𝖾 ꉂ 🎮ヾ ⋆꙳ #IVE #아이브 #REI #레이 #Shorts,2025-04-07T06:00:00Z,UC-Fnix71vRP64WXeo0ikd0Q,IVE,2132984,95711,1354,100,"{'ko': 57, 'en': 17, 'unknown': 3, 'ja': 11, 'ro': 2, 'so': 3, 'de': 1, 'ru': 1, 'lt': 1, 'nl': 1, 'sk': 1, 'cy': 1, 'sv': 1}"
__gCkerTRJY,Ye Peep Ye Peep #IVE #아이브 #IVE_SCOUT #Shorts,2025-04-06T12:30:36Z,UC-Fnix71vRP64WXeo0ikd0Q,IVE,1254054,51809,849,100,"{'ko': 75, 'en': 9, 'ro': 1, 'sv': 1, 'ja': 7, 'unknown': 2, 'lv': 1, 'sw': 1, 'et': 1, 'ca': 1, 'cy': 1}"
Cg1qrmPQojc,귀엽기만 한데 어떡하라고 우뜩하라고 엉뜨카라고 #IVE #아이브 #GAEUL #가을 #REI #레이 #IVE_SCOUT #Shorts,2025-04-06T05:00:09Z,UC-Fnix71vRP64WXeo0ikd0Q,IVE,498022,34072,540,100,"{'ro': 3, 'unknown': 14, 'ko': 52, 'el': 1, 'en': 5, 'de': 1, 'ja': 15, 'lt': 1, 'cy': 1, 'vi': 2, 'nl': 2, 'fr': 1, 'so': 1, 'sq': 1}"
vl8Maq6Tf4g,아이브냐옹 🐈  #IVE #아이브 #IVE_SCOUT #Shorts,2025-04-05T14:30:26Z,UC-Fnix71vRP64WXeo0ikd0Q,IVE,1755094,66038,1132,100,"{'ko': 68, 'ja': 7, 'ro': 1, 'de': 2, 'unknown': 10, 'hr': 1, 'en': 7, 'vi': 1, 'cy': 1, 'es': 1, 'tl': 1}"
