video_id,title,total_comments,total_language_count,lang_Tamil,lang_Arabic,lang_Spanish,lang_Turkish,lang_Croatian,lang_Korean,lang_Japanese,lang_Slovenian,lang_Estonian,lang_unknown,lang_Albanian,lang_Kannada,lang_Malayalam,lang_Welsh,lang_French,lang_Nepali,lang_Somali,lang_Polish,lang_Hungarian,lang_Thai,lang_Persian,lang_Marathi,lang_Slovak,lang_Indonesian,lang_German,lang_Greek,lang_Czech,lang_Romanian,lang_Macedonian,lang_Catalan,lang_Gujarati,lang_Danish,lang_Afrikaans,lang_Lithuanian,lang_Bulgarian,lang_English,lang_Latvian,lang_Chinese (Taiwan),lang_Swedish,lang_Chinese (China),lang_Urdu,lang_Norwegian,lang_Vietnamese,lang_Filipino,lang_Punjabi,lang_Hindi,lang_Portuguese,lang_Swahili,lang_Hebrew,lang_Finnish,lang_Russian,lang_Dutch,lang_Ukrainian,lang_Bangla,lang_Telugu,lang_Italian
Q-1MgSRMxE8,Video Q-1MgSRMxE8,9579,43,0,16,90,26,24,1030,74,27,54,165,22,0,0,299,37,0,241,32,14,18,1,0,11,147,386,0,8,45,3,32,0,21,148,5,1,5890,1,2,18,7,0,67,82,152,0,0,90,41,0,31,8,160,2,0,0,51
cyzcC5XPuZI,Video cyzcC5XPuZI,2278,42,0,39,83,34,16,208,197,6,19,60,0,0,0,33,11,0,37,17,22,2,27,0,16,23,76,0,13,10,2,5,0,7,14,1,5,1008,2,3,1,2,3,10,14,140,0,0,36,18,0,12,23,10,0,0,0,13
Wa5Efb30Apw,Video Wa5Efb30Apw,100,9,0,0,0,0,0,73,0,0,0,2,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0
yD9i8hfPztY,Video yD9i8hfPztY,68,22,0,1,1,0,3,19,0,0,1,11,0,0,0,0,0,0,1,0,1,1,1,0,3,1,1,0,0,3,0,0,0,0,2,0,0,11,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,2,0,0,0,0
J93aYOAycks,Video J93aYOAycks,4846,43,0,45,110,128,42,227,115,57,35,464,8,0,0,55,59,0,177,25,8,2,15,0,25,106,164,0,21,39,13,23,0,35,121,8,31,1957,1,0,7,2,1,43,69,124,0,0,85,101,0,40,175,33,14,0,0,36
TQ1Wd9ntwjw,Video TQ1Wd9ntwjw,1808,42,0,29,48,28,11,152,52,15,15,251,4,0,0,30,26,0,55,8,6,0,5,0,16,28,48,2,14,41,5,23,0,21,7,1,4,638,0,0,6,1,2,17,20,25,0,0,49,12,0,13,35,28,5,0,0,12
tKItcpOutpg,Video tKItcpOutpg,7738,44,0,49,582,67,42,253,270,31,57,505,6,0,0,335,98,0,227,42,67,9,11,0,52,92,229,1,62,98,3,75,0,32,38,9,1,2883,1,6,6,11,0,45,276,234,0,0,382,172,0,52,43,101,18,0,0,165
nv-h0zeeRo8,Video nv-h0zeeRo8,2354,44,0,45,75,51,11,158,282,7,7,201,2,0,0,20,21,0,113,8,6,1,10,0,6,27,42,1,18,50,3,11,0,5,31,8,3,630,5,6,3,2,0,42,43,237,0,0,53,34,0,9,12,18,17,0,0,20
i0zQcj12bSQ,Video i0zQcj12bSQ,583,36,0,8,6,13,0,167,9,0,4,65,0,0,0,7,5,0,15,2,2,1,2,0,0,35,11,0,2,11,0,2,0,2,2,1,2,157,0,0,1,18,1,4,2,8,0,0,1,0,0,4,4,5,1,0,0,3
VGpahj-nSBs,Video VGpahj-nSBs,534,34,0,0,21,1,2,76,41,1,5,53,0,0,0,5,7,0,14,5,2,2,0,0,2,19,24,0,0,1,1,2,0,0,2,2,0,192,1,0,3,1,0,0,7,9,0,0,8,11,0,4,7,1,0,0,0,2
CYIKRZCuURg,Video CYIKRZCuURg,431,27,0,0,3,1,2,45,7,1,0,18,0,0,0,7,5,0,3,5,1,105,0,0,0,5,5,0,3,4,0,0,0,0,3,0,0,169,0,0,0,0,0,2,10,4,0,0,2,7,0,0,3,6,0,0,0,5
9WQpPoAbU0M,Video 9WQpPoAbU0M,4245,44,0,57,96,99,12,492,97,23,14,415,4,0,0,46,64,0,83,29,11,1,13,0,13,57,181,0,11,17,18,126,0,26,26,4,37,1491,2,0,8,8,4,32,53,113,0,0,87,33,1,29,237,23,21,0,0,31
jnnOAfZXSFM,Video jnnOAfZXSFM,10157,42,0,18,104,10,34,2423,146,17,56,171,8,0,0,278,35,0,200,36,28,10,2,0,11,266,318,2,7,136,1,32,0,30,93,3,0,4886,3,0,16,5,0,44,70,143,0,0,98,59,0,27,8,266,2,0,0,55
LDPSNwJPnGY,Video LDPSNwJPnGY,200,25,0,3,14,3,5,20,1,3,1,13,0,0,0,0,2,0,1,0,0,0,0,0,1,0,4,0,1,1,0,0,0,0,1,3,0,54,0,0,0,0,0,1,0,5,0,0,18,7,0,2,31,0,0,0,0,5
mHJNduifECM,Video mHJNduifECM,100,19,0,0,1,0,0,23,2,0,0,6,0,0,0,0,7,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,48,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
E0Y3ABqK7M4,Video E0Y3ABqK7M4,27157,44,0,84,396,83,85,793,57,145,198,1877,68,0,0,982,278,0,572,211,144,347,23,0,82,319,599,0,57,82,1,211,0,148,550,53,6,16501,7,10,51,51,5,251,486,388,0,0,224,250,0,125,20,146,1,0,0,190
tNps9Ne9r5w,Video tNps9Ne9r5w,215,23,0,0,4,0,0,80,2,1,1,11,0,0,0,2,3,0,3,0,0,3,0,0,0,12,4,0,0,0,0,1,0,0,2,0,0,65,0,0,0,1,0,4,1,4,0,0,2,0,0,2,3,4,0,0,0,0
jXcuEAaZ0Tk,Video jXcuEAaZ0Tk,94,14,0,0,3,0,0,20,8,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,4,0,0,0,0,0,0,0,25,0,0,0,0,0,0,6,4,0,0,3,0,0,0,0,0,0,0,0,2
Uo15XCE8RY4,Video Uo15XCE8RY4,16718,46,0,87,1575,321,77,281,122,68,62,441,19,0,0,363,112,0,567,139,74,11,28,0,31,432,789,0,26,49,23,104,0,85,88,29,39,8464,5,1,35,3,4,100,143,313,0,1,649,184,1,55,410,100,19,0,0,189
80H,Video 80H,28310,46,0,146,1414,453,160,687,411,141,135,1676,34,0,0,511,256,0,1122,252,136,18,59,0,90,311,2509,0,45,98,91,256,0,296,293,32,142,11494,6,1,94,10,13,220,374,975,0,0,961,463,4,156,1154,192,148,1,0,270
hDswS0zpaS8,Video hDswS0zpaS8,250,28,0,2,4,9,0,47,18,0,0,25,1,0,0,1,3,0,6,8,2,0,0,0,0,10,10,0,3,8,0,0,0,0,1,1,0,70,0,1,0,3,0,0,5,2,0,0,4,1,0,1,0,1,0,0,0,3
whmYkmXNgis,Video whmYkmXNgis,1308,43,0,43,34,25,2,69,2,9,21,179,3,0,0,7,11,0,31,21,3,2,3,0,6,33,22,0,9,12,2,11,0,7,18,5,5,521,0,0,3,2,2,29,5,23,0,1,26,27,0,17,35,9,3,0,0,10
iFSi-FoE87E,Video iFSi-FoE87E,24442,48,0,1082,628,612,126,197,167,114,143,937,43,0,0,579,207,0,2787,497,131,49,225,0,30,836,1748,1,179,90,4,194,0,134,202,23,12,7457,6,5,115,9,55,173,622,1035,0,3,1485,789,1,230,70,236,11,1,0,162
0YFWS4QIp3s,Video 0YFWS4QIp3s,443,29,0,0,5,0,5,171,4,5,3,12,0,0,0,5,3,0,5,3,1,7,0,0,1,5,4,0,1,8,0,0,0,3,4,0,0,164,0,0,1,1,0,1,6,5,0,0,0,1,0,0,0,2,0,0,0,7
0,Video 0,4384,41,0,6,74,17,24,490,71,13,22,196,5,0,0,133,27,0,115,35,20,9,2,0,7,62,199,1,9,20,1,13,0,22,38,3,1,2356,0,0,11,3,0,17,40,77,0,0,55,40,0,15,8,110,0,0,0,17
VbytAZQogH0,Video VbytAZQogH0,20059,45,0,271,699,80,105,1655,1898,105,85,582,29,0,0,609,379,0,503,173,51,42,41,0,189,196,394,1,73,117,9,141,0,95,131,59,3,8991,2,10,33,28,11,127,263,356,0,0,735,253,0,73,47,154,8,0,0,253
PC8tFzvjOhI,Video PC8tFzvjOhI,814,32,0,0,26,4,3,132,41,7,3,25,0,0,0,24,5,0,13,1,0,6,0,0,2,61,23,0,0,6,0,5,0,10,6,0,0,357,0,0,1,2,0,3,4,18,0,0,11,4,0,4,3,2,0,0,0,2
qJXCbv9xscI,Video qJXCbv9xscI,7258,44,0,20,477,44,36,135,33,33,41,317,8,0,0,156,59,0,168,59,37,5,7,0,7,125,255,1,11,33,4,120,0,61,92,10,8,4013,6,0,31,8,1,50,56,175,0,0,183,83,0,41,102,70,2,0,0,75
,Video ,8036,44,0,161,225,143,24,491,723,36,48,438,11,0,0,79,69,0,242,50,7,5,33,0,40,78,277,0,17,45,42,28,0,68,93,25,26,3325,7,3,12,9,5,69,63,126,0,0,339,84,0,36,227,47,14,0,0,146
5nlJVsoC19o,Video 5nlJVsoC19o,968,39,0,22,37,20,8,31,51,5,5,112,1,0,0,17,19,0,36,7,15,0,8,0,6,13,20,0,19,21,1,3,0,2,8,1,0,342,0,0,2,1,2,15,8,16,0,0,33,13,0,19,7,8,0,0,0,14
77LzjLt28y0,Video 77LzjLt28y0,291,18,0,0,6,0,0,78,3,0,3,54,0,0,0,4,0,0,11,0,0,3,0,0,3,12,10,0,0,3,0,0,0,0,0,0,0,86,0,0,2,0,0,0,0,3,0,0,3,0,0,0,3,4,0,0,0,0
Pjex72T3gNo,Video Pjex72T3gNo,264,35,0,4,9,4,1,37,28,1,2,21,0,0,0,5,5,0,9,3,3,1,1,0,0,4,2,0,0,2,0,1,0,1,3,1,1,94,0,0,0,0,0,2,7,2,0,0,2,2,0,1,1,2,1,0,0,1
op3A-RKBzFk,Video op3A-RKBzFk,29190,46,1,96,345,114,112,387,28,89,388,188,75,0,0,469,226,0,1547,237,214,551,14,0,50,659,2140,1,28,116,3,346,0,158,445,46,11,15714,43,3,122,66,0,315,510,1524,0,0,782,320,2,183,61,278,9,0,0,174
TwP9QAo8sW4,Video TwP9QAo8sW4,354,35,0,4,10,12,1,60,32,1,3,34,3,0,0,3,3,0,10,4,1,0,1,0,2,2,1,1,1,8,0,0,0,0,4,1,0,94,0,5,1,10,0,0,10,2,0,0,7,10,0,1,0,4,0,0,0,8
Im-CX9benqU,Video Im-CX9benqU,4518,40,0,26,75,78,27,722,134,24,40,186,5,0,0,168,23,0,193,47,23,22,2,0,33,100,74,0,37,74,2,29,0,8,17,9,0,1829,0,6,1,10,0,24,74,150,0,0,81,80,0,18,2,16,0,0,0,49
sGhuwRYp5hM,Video sGhuwRYp5hM,4361,43,1,5,94,34,13,718,43,12,16,130,3,0,0,72,33,0,102,27,28,168,2,0,5,135,152,0,6,15,1,11,0,13,29,4,0,1934,2,0,12,3,1,32,130,145,0,0,49,28,0,22,39,59,7,0,0,26
1t6bwzeneck,Video 1t6bwzeneck,57,17,0,0,1,1,1,16,1,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,2,0,0,11,0,0,1,0,0,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0
kBVdYh5G6cc,Video kBVdYh5G6cc,32085,45,0,55,566,50,517,4073,3160,328,213,1370,21,0,0,280,357,0,593,93,123,614,19,0,83,5314,1314,0,67,404,5,220,0,151,144,11,4,8302,5,17,81,483,2,362,284,734,0,0,203,365,1,334,84,476,12,0,0,191
pRLUqVnSsKo,Video pRLUqVnSsKo,100,23,0,0,7,12,0,3,1,2,0,5,0,0,0,0,2,0,1,0,1,0,0,0,2,1,1,0,2,0,0,1,0,2,1,0,0,45,0,0,0,1,0,2,0,1,0,0,4,1,0,0,0,2,0,0,0,0
6OaCqGBvohc,Video 6OaCqGBvohc,49143,47,1,902,1203,1268,303,1385,60,418,474,1836,57,0,1,572,378,0,2313,285,314,145,286,0,201,9057,1866,2,216,375,16,280,0,299,546,19,15,15632,19,5,174,30,61,584,435,3601,0,0,1164,640,0,415,191,653,26,0,0,420
qJ,Video qJ,1839,45,0,22,79,7,7,119,351,4,17,83,1,0,0,19,31,0,46,5,19,3,2,0,10,12,46,0,5,7,3,3,0,4,13,3,1,686,2,2,1,5,2,18,16,60,0,0,56,19,0,13,15,11,1,1,0,9
zR043fcuV0Y,Video zR043fcuV0Y,8600,46,0,62,237,186,46,504,22,60,70,496,4,0,0,115,93,0,246,15,44,25,9,0,74,801,239,0,65,80,2,42,0,66,98,4,2,3480,1,1,14,15,2,99,50,709,1,0,173,92,0,94,18,88,5,2,0,49
fkMyxBpbWiY,Video fkMyxBpbWiY,100,18,0,0,1,1,0,16,1,0,1,3,0,0,0,3,0,0,2,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,58,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,3,0,0,0,2
0p4A2O1NbQs,Video 0p4A2O1NbQs,206,27,0,0,6,0,0,43,2,2,1,8,0,0,0,2,2,0,6,1,0,5,0,0,0,24,5,0,1,1,0,2,0,1,0,0,0,59,0,0,0,0,0,4,8,2,0,0,1,6,0,5,3,5,0,0,0,1
x0lIWvIJAsc,Video x0lIWvIJAsc,2060,40,0,8,22,7,22,341,64,13,52,97,2,0,0,14,18,0,85,14,0,47,4,0,4,311,90,0,4,35,0,13,0,4,16,1,4,518,3,1,6,2,0,24,22,60,0,0,24,30,0,26,11,26,0,0,0,15
9J-yfCdBbIY,Video 9J-yfCdBbIY,11541,45,0,213,280,73,38,956,156,77,197,435,13,0,0,130,83,0,254,132,15,25,30,0,46,423,351,0,34,134,9,46,0,34,297,25,10,5821,19,8,37,5,8,117,131,276,0,0,202,73,0,82,72,99,5,6,0,64
kk4QI,Video kk4QI,370,30,0,0,9,2,0,170,6,1,1,25,0,0,0,2,2,0,3,1,0,15,0,0,2,9,4,0,0,2,0,1,0,1,2,0,1,95,0,0,1,1,0,1,2,4,0,0,3,1,0,0,1,2,0,0,0,0
UwZv5jjPaBE,Video UwZv5jjPaBE,10250,42,0,25,119,12,29,686,43,24,40,318,22,0,0,233,111,0,262,57,44,21,3,0,16,140,413,0,14,66,2,59,0,54,124,1,0,6251,2,1,25,9,0,126,82,153,0,0,152,59,0,28,7,344,3,0,0,70
8uJCoF-48sY,Video 8uJCoF-48sY,100,7,0,0,0,0,0,72,3,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RKBaP6jENzA,Video RKBaP6jENzA,755,36,0,2,11,6,1,151,13,4,6,64,1,0,0,7,8,0,29,1,4,23,0,0,0,63,12,0,1,16,1,3,0,1,5,0,2,212,0,0,2,0,0,6,23,17,0,0,12,15,0,7,11,11,0,0,0,4
5QtI6HIEfP8,Video 5QtI6HIEfP8,6945,44,0,401,174,134,38,292,7,59,55,466,13,0,0,189,81,0,238,39,17,12,77,0,64,470,211,0,49,74,2,104,0,38,62,3,5,2673,7,10,24,17,9,67,44,173,0,0,193,99,0,78,37,67,3,0,0,70
F2uUs9MKDyA,Video F2uUs9MKDyA,31899,46,0,396,1146,393,104,1615,115,150,228,1520,31,0,0,443,370,0,1373,448,104,218,94,0,103,4891,1440,2,44,120,20,325,0,345,264,25,13,10076,14,9,98,340,19,469,379,1426,0,0,1015,524,0,263,333,354,23,8,0,209
WO4hPug3lxo,Video WO4hPug3lxo,233,23,0,1,7,0,1,101,3,2,1,19,0,0,0,3,1,0,14,0,0,5,0,0,1,10,3,0,0,0,0,0,0,0,2,0,0,49,0,0,0,0,0,0,0,4,0,0,2,1,0,1,1,1,0,0,0,0
9Q51Gqs4QU0,Video 9Q51Gqs4QU0,381,35,0,6,8,13,1,82,27,1,3,37,0,0,0,5,2,0,3,4,3,1,0,0,0,1,23,0,2,4,0,2,0,1,1,0,0,98,0,13,1,8,0,4,4,6,1,0,2,4,0,0,4,5,0,0,0,1
4cDjiFRmc4g,Video 4cDjiFRmc4g,282,30,0,1,10,1,0,29,7,0,3,23,0,0,0,6,8,0,2,2,0,9,0,0,1,18,5,0,0,2,1,3,0,2,4,0,0,94,0,0,0,0,0,4,17,12,0,0,4,0,0,2,6,1,1,0,0,4
bs8SfZdb4us,Video bs8SfZdb4us,100,21,0,0,7,0,0,15,0,0,0,12,2,0,0,1,4,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,3,1,0,0,28,0,0,0,1,0,0,1,7,0,0,3,0,0,1,6,1,1,0,0,1
waQ47pqNZzY,Video waQ47pqNZzY,100,14,0,1,1,0,0,12,0,0,0,4,0,0,0,16,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,58,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
rWy0xjTvKl4,Video rWy0xjTvKl4,311,34,0,1,11,2,1,18,23,0,0,28,1,0,0,5,5,0,6,4,0,5,1,0,2,3,10,0,1,3,0,1,0,3,4,1,1,122,0,0,0,0,0,4,2,6,0,0,20,5,0,1,5,2,0,0,0,4
in87oOJGvAE,Video in87oOJGvAE,100,9,0,1,0,0,0,9,0,0,0,0,0,0,0,17,0,0,1,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
1yPZ0UpylQc,Video 1yPZ0UpylQc,588,35,0,24,14,4,2,51,3,5,3,53,1,0,0,6,4,0,6,9,1,0,0,0,6,12,11,0,1,6,0,3,0,4,6,2,0,274,0,0,2,0,0,10,1,7,0,0,10,30,0,4,9,1,0,0,0,3
b1T0gwBVv28,Video b1T0gwBVv28,100,9,0,0,1,0,0,79,5,0,0,1,0,0,0,10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2OGtJXeH6LQ,Video 2OGtJXeH6LQ,12515,46,0,61,842,101,28,1321,386,56,47,852,4,0,0,140,143,0,212,62,46,8,15,0,34,132,633,6,19,93,48,70,0,30,49,15,37,5260,1,2,21,32,5,63,117,208,0,0,383,63,1,44,633,52,46,0,0,94
fgaLAomg68c,Video fgaLAomg68c,1504,41,0,36,55,33,2,335,255,4,7,83,1,0,0,10,14,0,27,25,2,3,6,0,6,17,13,1,5,23,0,2,0,1,7,1,1,381,0,4,0,5,1,2,8,39,0,0,32,26,0,10,6,7,0,0,0,8
fOfRYyUN6qQ,Video fOfRYyUN6qQ,294,21,0,2,1,0,0,133,17,0,3,15,0,0,0,3,1,0,5,1,0,0,0,0,0,11,2,0,0,0,0,2,0,0,3,0,0,78,0,0,0,0,0,0,1,8,0,0,3,2,0,1,2,0,0,0,0,0
0APzH93GPcY,Video 0APzH93GPcY,100,14,0,0,2,0,0,56,2,0,1,9,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,22,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Rztc7OdZiTY,Video Rztc7OdZiTY,84,14,0,0,1,0,0,25,0,0,0,13,0,0,0,2,3,0,4,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,22,0,0,0,0,0,1,0,4,0,0,0,0,0,2,1,0,0,0,0,0
QkT7CCeGRvE,Video QkT7CCeGRvE,162,19,0,0,2,1,3,18,54,0,0,11,0,0,0,0,2,0,3,0,0,0,0,0,1,7,3,0,0,0,0,0,0,0,2,0,0,43,0,0,0,0,0,0,4,1,0,0,3,1,0,1,2,0,0,0,0,0
GXWoidf5PBE,Video GXWoidf5PBE,2284,44,0,35,56,27,6,397,19,8,10,227,2,0,0,27,26,0,97,17,8,4,12,0,11,219,54,1,4,11,1,7,0,10,25,1,2,657,3,0,8,33,2,28,10,77,0,0,30,22,0,32,26,18,0,1,0,13
zVneES4ipy4,Video zVneES4ipy4,7875,46,0,159,277,328,16,715,449,26,42,520,12,0,0,125,129,0,283,60,16,13,28,0,17,161,295,1,19,108,62,179,0,31,64,22,69,2625,2,5,17,12,6,44,36,98,0,0,173,33,1,29,438,53,36,0,0,41
,Video ,100,9,0,0,2,0,0,24,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,56,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
pM-jOfy,Video pM-jOfy,75700,50,2,864,8749,4556,409,1626,1899,497,615,3167,168,0,0,1450,801,0,2321,946,523,81,290,0,398,1956,4657,9,122,441,138,883,1,677,873,303,204,22464,50,11,349,46,57,771,1057,2022,0,3,3191,1444,2,491,2492,605,164,4,0,851
ngh2nJ0aaVs,Video ngh2nJ0aaVs,628,40,0,3,17,25,2,76,68,3,5,67,0,0,0,2,10,0,15,6,4,3,5,0,1,10,55,1,7,12,0,0,0,2,3,2,0,169,1,9,1,2,0,3,1,8,0,1,6,7,0,5,2,1,0,0,0,8
-w6IrgaXrRA,Video -w6IrgaXrRA,100,21,0,0,2,2,0,1,0,3,1,5,0,0,0,2,1,0,4,0,2,0,0,0,0,4,5,0,0,1,0,0,0,0,0,0,0,49,0,0,2,0,0,4,0,3,0,0,2,0,0,5,0,1,0,0,0,1
TiMqP2SU7MA,Video TiMqP2SU7MA,8344,43,0,46,155,14,21,1552,221,14,26,301,6,0,0,128,37,0,198,137,25,37,3,0,10,381,366,0,7,30,1,40,0,44,54,3,3,3613,0,3,26,43,2,61,77,169,0,0,93,119,0,29,55,149,6,0,0,39
zmKcErrGpR0,Video zmKcErrGpR0,20247,47,0,41,243,65,73,3160,203,35,80,756,57,2,0,556,74,0,674,265,92,23,25,0,29,1149,628,3,15,277,2,52,0,191,101,9,4,8546,2,2,52,3,1,171,873,518,0,0,253,305,0,62,10,448,8,0,12,97
YQoO3concnE,Video YQoO3concnE,15785,48,0,518,432,371,91,578,10,120,293,731,22,1,7,195,172,0,363,218,135,28,176,0,58,783,554,0,59,193,8,126,0,108,185,187,9,6028,19,3,64,17,24,151,94,529,0,3,247,736,0,643,167,166,11,3,0,149
q91hRIU92hE,Video q91hRIU92hE,225,31,0,6,3,5,1,16,18,3,1,21,0,0,0,2,3,0,26,2,0,0,2,0,1,3,5,0,13,2,0,2,0,2,1,0,0,65,0,0,0,0,0,1,4,2,0,0,6,4,0,0,1,2,0,0,0,2
gG63zVEnpWw,Video gG63zVEnpWw,11427,44,0,52,367,27,77,913,2409,62,140,473,0,1,0,67,144,0,210,44,64,31,10,0,48,570,277,1,43,85,0,57,0,30,81,4,2,4003,3,29,27,127,2,54,60,163,0,0,100,149,0,184,14,188,2,0,0,33
-oJ4JvNnVNc,Video -oJ4JvNnVNc,2232,41,0,12,47,7,7,205,82,9,10,97,4,0,0,40,20,0,56,22,11,3,0,0,2,73,103,0,7,5,2,12,0,11,27,2,2,1061,1,0,7,2,0,22,41,67,0,0,36,31,0,13,12,47,1,0,0,13
E-VCe4qTHCQ,Video E-VCe4qTHCQ,445,28,0,2,7,1,0,196,5,0,10,17,1,0,0,7,1,0,9,0,0,23,0,0,2,19,9,0,1,0,0,0,0,1,2,0,0,94,0,0,0,2,0,2,0,7,0,0,2,4,0,12,5,2,0,0,0,2
295e,Video 295e,16508,44,0,14,143,84,71,944,59,91,60,187,4,2,0,528,119,0,497,110,18,44,3,0,51,1437,598,0,15,22,4,38,0,61,118,4,3,9367,4,0,46,8,0,112,228,604,0,1,146,161,0,92,29,310,4,0,0,67
TpO4r0mL8ac,Video TpO4r0mL8ac,13618,44,0,493,189,296,67,715,12,74,144,774,12,0,0,132,199,0,307,183,64,10,95,0,61,782,465,0,31,63,3,75,0,120,132,144,3,6008,20,2,50,7,17,113,51,474,0,0,112,687,0,192,66,91,9,0,0,74
PsDRmVjhCoM,Video PsDRmVjhCoM,1508,41,0,40,78,20,4,52,32,7,12,74,1,0,0,39,15,0,46,39,8,2,12,0,2,28,39,0,2,4,1,5,0,3,4,2,0,755,1,0,0,1,6,10,25,34,0,0,48,14,0,22,9,7,1,0,0,4
7h35-kd9k9A,Video 7h35-kd9k9A,423,36,0,3,9,26,0,58,31,3,4,66,1,0,0,3,6,0,7,2,1,0,1,0,2,8,10,1,6,10,1,0,0,0,8,0,1,107,1,6,1,12,0,2,9,6,0,0,5,1,0,2,0,0,0,0,0,3
wDuzNLfVmzQ,Video wDuzNLfVmzQ,1172,35,0,5,333,0,1,80,9,2,0,94,3,0,0,5,32,0,11,16,4,2,3,0,1,17,13,0,2,16,0,19,0,6,34,0,1,241,0,0,1,5,0,16,7,7,0,0,153,0,0,4,4,12,0,0,0,13
oLllpjkEXPs,Video oLllpjkEXPs,4567,42,1,18,105,23,31,280,41,19,35,137,6,0,0,66,17,0,162,17,33,8,2,0,5,192,168,0,11,63,1,18,0,21,37,0,0,2452,2,1,6,8,0,30,71,223,0,0,72,71,0,17,12,57,1,0,0,27
pmkWBgayoUk,Video pmkWBgayoUk,7776,44,0,267,438,117,39,352,305,49,91,506,8,0,0,170,113,0,224,151,103,6,75,0,22,88,223,0,38,54,5,70,0,33,50,19,3,2787,9,6,15,15,27,56,213,193,0,0,261,301,0,56,56,85,2,0,0,75
jqhBPYcck58,Video jqhBPYcck58,611,38,0,16,17,2,2,65,43,1,6,49,3,0,0,8,9,0,18,7,15,0,1,0,3,11,31,0,5,8,0,2,0,6,3,1,0,220,1,2,0,0,0,16,3,14,0,0,9,2,0,4,3,3,1,0,0,1
,Video ,984,39,0,6,24,22,4,101,21,7,7,85,0,0,0,8,12,0,28,15,2,1,0,0,5,17,30,0,1,13,5,2,0,7,8,0,7,387,1,0,1,1,0,2,8,16,0,0,15,11,0,4,77,10,4,0,0,9
TrYFt-YDDPw,Video TrYFt-YDDPw,2902,41,0,15,56,12,30,375,12,13,12,132,0,0,0,37,34,0,78,26,11,46,6,0,6,110,63,0,8,27,2,10,0,11,15,8,2,1286,0,0,8,17,1,19,52,186,0,0,48,49,0,6,40,13,2,0,0,18
e0bBkeZHFuI,Video e0bBkeZHFuI,4600,42,0,71,127,37,16,228,192,20,26,139,9,0,0,201,36,0,136,25,17,1,10,0,9,77,63,0,14,43,0,41,0,11,16,3,1,2578,1,3,3,0,4,20,58,143,0,0,56,62,0,10,2,38,2,0,0,51
rp3nQosLcUk,Video rp3nQosLcUk,12370,46,0,75,515,197,51,589,801,44,62,321,3,0,0,128,57,0,1639,27,106,15,21,0,84,116,307,0,48,86,1,42,0,19,16,8,3,4270,1,1,5,6,5,25,173,1906,0,1,216,172,0,51,22,52,2,1,0,80
71cKKiQUqxE,Video 71cKKiQUqxE,7000,45,0,120,242,107,30,173,124,32,44,187,11,0,0,221,73,0,191,78,54,9,29,0,21,150,246,1,19,97,1,46,0,37,57,9,1,3594,7,3,12,3,6,56,196,264,0,0,147,128,0,41,9,67,1,0,0,56
Wb7dDxDNvtc,Video Wb7dDxDNvtc,196,22,0,0,3,0,0,108,3,0,0,8,0,0,0,1,1,0,4,0,0,3,0,0,0,0,2,0,0,8,0,0,0,1,2,0,0,32,0,0,0,0,0,0,1,1,0,0,2,3,0,2,4,5,1,0,0,1
lFKmStcjzoE,Video lFKmStcjzoE,622,38,0,31,11,4,1,97,1,2,3,63,1,0,0,3,3,0,13,6,2,1,0,0,3,16,3,0,2,31,3,0,0,3,4,0,1,237,0,0,0,0,0,6,2,12,0,0,9,15,1,6,11,5,1,1,0,8
