video_id,title,total_comments,total_language_count,lang_Tamil,lang_Arabic,lang_Spanish,lang_Turkish,lang_Croatian,lang_Korean,lang_Japanese,lang_Slovenian,lang_Estonian,lang_unknown,lang_Albanian,lang_Kannada,lang_Malayalam,lang_Welsh,lang_French,lang_Nepali,lang_Somali,lang_Polish,lang_Hungarian,lang_Thai,lang_Persian,lang_Marathi,lang_Slovak,lang_Indonesian,lang_German,lang_Greek,lang_Czech,lang_Romanian,lang_Macedonian,lang_Catalan,lang_Gujarati,lang_Danish,lang_Afrikaans,lang_Lithuanian,lang_Bulgarian,lang_English,lang_Latvian,lang_Chinese (Taiwan),lang_Swedish,lang_Chinese (China),lang_Urdu,lang_Norwegian,lang_Vietnamese,lang_Filipino,lang_Punjabi,lang_Hindi,lang_Portuguese,lang_Swahili,lang_Hebrew,lang_Finnish,lang_Russian,lang_Dutch,lang_Ukrainian,lang_Bangla,lang_Telugu,lang_Italian
MwhA-zj6q7s,Video MwhA-zj6q7s,271,23,0,2,3,0,0,133,3,0,0,9,0,0,0,1,0,0,6,1,0,2,0,0,0,15,7,0,0,9,0,0,0,0,2,0,0,54,0,0,1,0,0,0,1,3,0,0,3,4,0,2,2,3,0,0,0,5
Wwdcv8TRbcA,Video Wwdcv8TRbcA,46646,50,0,217,8961,4946,299,758,128,205,437,2018,64,7,0,374,656,1,940,240,477,12,60,0,133,974,3326,14,176,520,33,544,3,202,981,92,39,12578,19,1,95,12,5,240,523,1010,2,0,1698,478,0,376,394,574,27,1,0,776
yW8V4xHKByk,Video yW8V4xHKByk,100,23,0,4,4,1,0,2,0,1,2,9,0,0,0,0,10,0,1,1,0,0,1,0,0,8,2,0,0,0,0,0,0,1,1,0,0,35,0,0,1,0,0,1,0,1,0,0,3,7,0,2,0,0,0,0,0,2
ynTrKlhGEJs,Video ynTrKlhGEJs,1041,40,0,6,48,3,5,123,145,7,6,87,3,0,0,8,8,0,28,10,7,1,3,0,4,10,21,1,2,11,0,8,0,1,4,1,0,313,3,0,0,2,0,1,16,90,0,0,15,5,0,3,13,6,3,0,0,10
12N0qEr,Video 12N0qEr,100,19,0,0,21,1,0,0,0,1,0,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,1,1,0,0,46,0,0,0,0,0,0,2,2,0,2,3,1,0,0,5,1,0,0,0,2
imbyafJKcZU,Video imbyafJKcZU,1277,37,0,1,23,1,10,475,13,4,7,80,2,0,0,12,8,0,33,5,1,16,0,0,7,42,26,0,2,6,1,8,0,8,27,0,0,298,0,0,6,2,0,7,15,17,0,0,27,47,0,12,9,10,0,0,0,9
e54YjIvHV8k,Video e54YjIvHV8k,11000,45,0,219,218,100,59,543,3297,58,28,452,1,0,0,102,87,0,276,37,20,3,48,0,59,77,170,1,47,23,0,41,0,34,36,4,1,3388,2,5,10,10,11,33,283,863,0,0,116,70,0,43,3,61,2,0,1,58
1pVxRJ1rGeI,Video 1pVxRJ1rGeI,318,34,0,3,6,15,5,37,15,1,0,38,0,0,0,4,4,0,1,1,2,0,2,0,3,3,9,0,5,8,0,2,0,1,0,0,0,107,0,8,2,6,0,1,9,4,0,0,4,3,0,1,1,6,0,0,0,1
6h1dZShmANs,Video 6h1dZShmANs,2062,42,0,15,36,50,5,257,39,26,12,236,2,0,0,27,35,0,59,20,5,0,3,0,11,30,69,0,11,16,15,63,0,29,19,2,17,662,2,0,7,2,0,20,16,36,0,0,39,8,1,7,117,14,6,0,0,16
xuVvCvRXUCw,Video xuVvCvRXUCw,135,23,0,1,0,0,1,37,2,0,0,3,0,0,0,4,2,0,7,0,0,1,0,0,2,11,3,0,0,7,0,0,0,1,2,0,0,32,0,0,0,0,0,0,1,6,0,0,0,2,0,1,1,4,0,0,0,4
fsPOS80lEdU,Video fsPOS80lEdU,911,38,0,5,31,25,3,131,84,2,3,109,0,0,0,4,8,0,36,7,2,1,1,0,4,6,33,0,7,5,1,2,0,2,3,1,0,307,0,0,0,1,0,3,25,15,0,0,14,3,0,4,7,7,1,0,0,8
rIA0N1ESW50,Video rIA0N1ESW50,4742,42,0,32,237,52,30,278,239,25,24,204,2,0,0,115,35,0,101,56,35,2,4,2,13,71,99,0,12,33,0,36,0,6,24,5,0,2426,1,1,5,6,2,15,108,119,0,0,115,55,0,25,16,26,0,0,0,50
roQGG8IpXQ0,Video roQGG8IpXQ0,2995,41,0,29,43,62,9,430,83,16,14,196,4,0,0,39,24,0,100,12,6,1,5,0,5,49,96,0,10,17,11,6,0,13,27,0,10,1279,0,0,6,2,3,13,16,89,0,0,46,12,0,9,127,18,13,0,0,45
vn0NChSV3,Video vn0NChSV3,1800,41,0,28,84,6,5,302,361,10,5,118,2,0,0,31,16,0,23,16,4,8,5,0,13,9,29,0,2,14,3,5,0,4,7,7,0,492,3,5,2,7,0,10,25,23,0,0,59,16,0,7,4,11,0,0,0,19
AheJYXSfzVQ,Video AheJYXSfzVQ,2625,41,0,19,359,25,14,133,208,12,18,135,4,0,0,134,28,0,60,5,15,1,2,0,13,18,50,0,25,42,0,34,0,8,10,7,2,840,0,2,5,2,3,10,67,47,0,0,127,38,0,10,17,30,0,0,0,46
owqEtVcDZZQ,Video owqEtVcDZZQ,100,19,0,0,0,0,1,28,5,1,0,5,0,0,0,1,2,0,2,0,1,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,39,0,0,0,1,0,0,0,2,0,0,0,1,0,0,1,2,0,0,0,2
ap14O5-G7UA,Video ap14O5-G7UA,80992,49,1,459,1803,316,242,2144,544,225,509,6201,239,0,1,1694,777,0,2171,545,291,124,155,0,141,1918,3558,17,104,340,15,482,0,598,1078,65,20,45260,33,20,300,48,39,617,718,1714,0,0,1334,1101,1,352,226,1958,11,1,0,482
St,Video St,895,39,0,1,31,11,4,70,72,6,2,42,1,0,0,36,6,0,14,15,7,5,4,0,0,7,19,0,6,11,1,5,0,0,2,2,1,415,0,1,3,1,0,2,23,22,0,0,23,9,0,4,1,4,0,0,0,6
eFv3FQT4sKY,Video eFv3FQT4sKY,539,38,0,9,14,42,3,31,33,4,4,41,0,0,0,5,6,0,25,9,6,2,1,0,3,9,20,0,9,4,0,1,0,5,0,1,1,174,0,1,0,3,0,1,29,7,0,0,11,8,0,1,2,5,1,0,0,8
