video_id,video_link,title,comment_count,like_count,languages_used,channel_id,channel_title,published_at,en,ko,unknown,de,tl,id,es,tr,et,cy,ca,pl,pt,so,ru,ja,hr,ro,ar,it,af,th,fi,da,nl,sw,vi,hu,fr,sv,no,fa,sq,cs,bg,lt,sl,sk,lv,uk,mk,zh-cn,he,el,bn,ur,te,pa,zh-tw,ml,ta,kn,gu,ne,hi,mr,view_count,total_comments_processed,languages
fxiGS3jAaco,,𝙇𝙚𝙩’𝙨 𝙗𝙧𝙚𝙖𝙠 𝙞𝙩 𝙙𝙤𝙬𝙣🌀🎮🔊 #LE_SSERAFIM #르세라핌 #LE_SSERAFIM_HOT ❤️‍🔥 #shorts,140.0,22030,,UCs-QBT4qkj_YiQw1ZntDO3g,LE SSERAFIM,2025-04-21 11:15:04+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223753.0,100.0,"{'ko': 26, 'ja': 6, 'cy': 2, 'fr': 3, 'sw': 3, 'unknown': 13, 'et': 1, 'en': 32, 'fi': 3, 'id': 2, 'es': 1, 'ar': 1, 'it': 2, 'so': 1, 'de': 2, 'vi': 1, 'ro': 1}"
RJbjASZpcBI,,[LE▶️PLAY] OVERWATCH 2 X LE SSERAFIM l 우승까지 해버린 핌둥이들의 오버워치 2 현장🎮,193.0,6010,,UCs-QBT4qkj_YiQw1ZntDO3g,LE SSERAFIM,2025-04-21 11:00:01+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50121.0,100.0,"{'en': 30, 'ja': 13, 'fr': 2, 'ko': 35, 'unknown': 11, 'de': 2, 'cy': 1, 'es': 4, 'et': 1, 'nl': 1}"
Oqiu32JWE7I,,LE SSERAFIM (르세라핌) &#39;ON-OFF 23-24&#39; Motion Teaser,167.0,10480,,UCs-QBT4qkj_YiQw1ZntDO3g,LE SSERAFIM,2025-04-21 09:00:04+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149301.0,100.0,"{'cy': 1, 'en': 38, 'unknown': 18, 'ko': 17, 'fr': 3, 'de': 3, 'ja': 4, 'pl': 1, 'fa': 1, 'vi': 2, 'ca': 2, 'id': 1, 'so': 1, 'es': 2, 'pt': 1, 'sw': 1, 'th': 1, 'sl': 1, 'it': 1, 'tr': 1}"
wYaS3rBmSbs,,렝렝렝 SAHUR 🪵 #IVE #아이브 #REI #레이 #Shorts,1066.0,37759,,UC-Fnix71vRP64WXeo0ikd0Q,IVE,2025-04-21 08:58:13+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,932618.0,100.0,"{'es': 1, 'de': 4, 'ko': 68, 'tl': 3, 'en': 9, 'cy': 1, 'unknown': 4, 'fi': 1, 'ro': 3, 'tr': 1, 'pt': 1, 'ja': 1, 'nl': 1, 'sq': 1, 'id': 1}"
mUG5_u-3oFU,,함께해서 Perfect Night ✨#LE_SSERAFIM #르세라핌 #EASY_CRAZY_HOT  #EASY_CRAZY_HOT_IN_INCHEON,663.0,45225,,UCs-QBT4qkj_YiQw1ZntDO3g,LE SSERAFIM,2025-04-20 13:09:24+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,937757.0,100.0,"{'ko': 30, 'en': 42, 'ja': 14, 'unknown': 5, 'nl': 2, 'fi': 1, 'id': 1, 'de': 2, 'fr': 1, 'cy': 1, 'vi': 1}"
82xj0EJr5rc,,𝑵𝒐𝒘 𝒚𝒐𝒖 𝒌𝒏𝒐𝒘 𝒎𝒚 𝒏𝒂𝒎𝒆💫 @ 2025 LE SSERAFIM TOUR &#39;EASY CRAZY HOT&#39; IN INCHEON,332.0,34175,,UCs-QBT4qkj_YiQw1ZntDO3g,LE SSERAFIM,2025-04-20 11:00:10+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541619.0,100.0,"{'en': 36, 'so': 3, 'ja': 7, 'cy': 6, 'id': 1, 'unknown': 10, 'de': 4, 'it': 3, 'ko': 20, 'es': 3, 'pl': 1, 'pt': 3, 'vi': 1, 'ca': 1, 'et': 1}"
kOPd6aPAlGw,,𝑳𝒆𝒕&#39;𝒔 𝒈𝒐 𝒃𝒆𝒚𝒐𝒏𝒅 𝒕𝒐𝒈𝒆𝒕𝒉𝒆𝒓🏃‍♀️‍➡️ @ 2025 LE SSERAFIM TOUR &#39;EASY CRAZY HOT&#39; IN INCHEON,92.0,10716,,UCs-QBT4qkj_YiQw1ZntDO3g,LE SSERAFIM,2025-04-20 11:00:07+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133483.0,85.0,"{'en': 22, 'unknown': 18, 'fr': 3, 'ko': 22, 'it': 1, 'hr': 1, 'ja': 7, 'ar': 1, 'de': 4, 'sw': 1, 'pt': 1, 'vi': 1, 'so': 2, 'tr': 1}"
P4QbzIQqKdo,,𝒄𝒐𝒎𝒆 𝒐𝒗𝒆𝒓 𝒂𝒏𝒅 𝒅𝒂𝒏𝒄𝒆💃 @ 2025 LE SSERAFIM TOUR &#39;EASY CRAZY HOT&#39; IN INCHEON,123.0,16849,,UCs-QBT4qkj_YiQw1ZntDO3g,LE SSERAFIM,2025-04-20 11:00:03+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207587.0,100.0,"{'ja': 13, 'ko': 23, 'en': 34, 'it': 3, 'unknown': 14, 'da': 2, 'et': 1, 'pt': 1, 'so': 1, 'es': 2, 'ar': 1, 'ca': 2, 'sw': 1, 'de': 1, 'fr': 1}"
0-k7IFiVfl0,,친구들에게 보이기 부끄러웠던 만채의 애교🥰 #LE_SSERAFIM #르세라핌 #EASY_CRAZY_HOT #EASY_CRAZY_HOT_IN_INCHEON,256.0,19569,,UCs-QBT4qkj_YiQw1ZntDO3g,LE SSERAFIM,2025-04-19 14:45:31+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352844.0,100.0,"{'ja': 26, 'en': 16, 'ko': 28, 'tl': 1, 'unknown': 10, 'no': 2, 'ro': 4, 'so': 2, 'de': 3, 'es': 3, 'it': 1, 'fr': 1, 'nl': 1, 'af': 1, 'ar': 1}"
M3qYx4jfP9w,,𝑊ℎ𝑒𝑟𝑒 𝑡ℎ𝑒 ℎ𝑒𝑐𝑘 𝑖𝑠 𝑆𝑎𝑘𝑖?👀 @ 2025 LE SSERAFIM TOUR &#39;EASY CRAZY HOT&#39; IN INCHEON #LE_SSERAFIM #르세라핌,200.0,22238,,UCs-QBT4qkj_YiQw1ZntDO3g,LE SSERAFIM,2025-04-19 12:01:14+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325430.0,100.0,"{'en': 37, 'nl': 2, 'es': 2, 'unknown': 10, 'ko': 21, 'fr': 1, 'id': 2, 'pl': 1, 'de': 6, 'ja': 6, 'so': 3, 'it': 3, 'bg': 1, 'sw': 3, 'lt': 1, 'vi': 1}"
