video_id,video_link,title,comment_count,like_count,languages_used,en,ko,unknown,de,tl,id,es,tr,et,cy,ca,pl,pt,so,ru,ja,hr,ro,ar,it,af,th,fi,da,nl,sw,vi,hu,fr,sv,no,fa,sq,cs,bg,lt,sl,sk,lv,uk,mk,zh-cn,he,el,bn,ur,te,pa,zh-tw,ml,ta,kn,gu,ne,hi,mr
aqtSOksH-NE,https://www.youtube.com/watch?v=aqtSOksH-NE,Abyss by Jin,300.0,3273602,33.0,117,4,20,5,4,2,52,1,2,7,3,1,7,3,0,8,5,5,2,1,3,0,3,4,4,14,1,4,8,0,2,0,0,3,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0xSFPome3Tc,https://www.youtube.com/watch?v=0xSFPome3Tc,[CHOREOGRAPHY] BTS (방탄소년단) 'Permission to Dance' Dance Practice,200.0,3176347,34.0,63,16,23,12,3,3,16,1,1,7,1,0,7,5,1,7,0,0,1,1,2,1,2,1,1,4,4,0,5,2,1,1,0,0,0,1,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
S50SYJbyXY4,https://www.youtube.com/watch?v=S50SYJbyXY4,[CHOREOGRAPHY] BTS (방탄소년단) ‘Butter (Holiday Remix)’ Dance Practice,400.0,3107097,38.0,187,30,28,5,8,5,23,5,3,6,3,1,13,4,9,8,1,4,7,3,3,1,2,3,1,5,6,0,4,0,4,1,2,2,1,4,2,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
LDPSNwJPnGY,https://www.youtube.com/watch?v=LDPSNwJPnGY,Christmas Love by Jimin,200.0,2903582,25.0,54,20,13,4,5,0,14,3,1,0,0,0,18,1,31,1,5,1,3,5,1,0,2,0,0,7,0,0,2,0,1,0,0,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5KmfwvR1Xsc,https://www.youtube.com/watch?v=5KmfwvR1Xsc,➡ Side step right left to my 💓,27141.0,2785320,52.0,6819,1029,5191,1113,759,770,1413,253,352,312,168,221,847,721,236,351,187,280,969,242,331,45,353,343,268,424,321,101,486,83,329,150,57,480,25,125,504,313,52,23,24,15,0,3,9,28,1,0,2,5,3,2,0,0,2,1
_yTP_L8fC-k,https://www.youtube.com/watch?v=_yTP_L8fC-k,My You by Jung Kook #2022BTSFESTA,200.0,2784664,27.0,64,43,12,4,1,3,8,1,8,8,0,1,4,2,2,8,1,0,0,0,2,0,0,0,0,11,1,2,3,3,1,0,0,2,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1WsSY1I17gw,https://www.youtube.com/watch?v=1WsSY1I17gw,BTS (방탄소년단) 'Butter' in 노래방,100.0,2758798,20.0,35,11,12,1,3,2,7,0,1,4,0,0,6,3,0,0,0,2,0,1,2,0,1,0,0,0,2,1,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pM-jOfy_1jM,https://www.youtube.com/watch?v=pM-jOfy_1jM,"Stray Kids ""거미줄(VENOM)"" Video",75700.0,2614113,50.0,22464,1626,3167,4657,2022,1956,8749,4556,615,1450,883,946,3191,2321,2492,1899,409,441,864,851,873,81,491,677,605,1444,1057,523,801,349,771,290,168,122,204,303,497,398,50,164,138,46,2,9,4,57,0,0,11,0,2,0,1,0,3,0
2bBkSgQisbg,https://www.youtube.com/watch?v=2bBkSgQisbg,"Hyunjin ""Play With Fire (Feat. Yacht Money)"" (원곡 : Sam Tinnesz) | [Stray Kids : SKZ-PLAYER]",200.0,2571857,33.0,86,7,7,6,3,2,12,3,1,4,1,0,4,6,12,0,1,2,1,3,2,0,4,2,0,8,5,0,7,1,1,0,0,1,2,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WyiIGEHQP8o,https://www.youtube.com/watch?v=WyiIGEHQP8o,Red Velvet 레드벨벳 '빨간 맛 (Red Flavor)' MV,96754.0,2539797,48.0,47649,8781,6016,3720,1333,1477,1154,869,1447,2355,471,452,1161,1813,76,408,212,512,437,666,2807,208,702,1770,683,1792,879,350,1104,201,3464,74,140,132,10,308,749,204,45,33,7,54,0,2,0,21,0,0,3,1,1,0,1,0,0,0
