video_id,video_link,title,comment_count,like_count,languages_used,en,ko,unknown,de,tl,id,es,tr,et,cy,ca,pl,pt,so,ru,ja,hr,ro,ar,it,af,th,fi,da,nl,sw,vi,hu,fr,sv,no,fa,sq,cs,bg,lt,sl,sk,lv,uk,mk,zh-cn,he,el,bn,ur,te,pa,zh-tw,ml,ta,kn,gu,ne,hi,mr
sDerMCptwo4,https://www.youtube.com/watch?v=sDerMCptwo4,"MINA, DAHYUN - What is Love?🎧💕(La Boum 2021 ver.) #TWICE #트와이스 #WhatIsLoveRecharting",2563.0,477250,43.0,906,116,153,78,80,71,102,51,29,38,18,28,41,123,18,232,10,59,32,44,20,2,20,4,18,89,27,29,19,3,24,15,3,10,1,5,22,11,6,0,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Od2LkPjLqHA,https://www.youtube.com/watch?v=Od2LkPjLqHA,"NAYEON, MOMO What is Love?🤓💕(The Princess Diaries 2021 ver.) #TWICE #트와이스 #WhatIsLoveRecharting",700.0,475241,39.0,235,46,77,10,14,12,44,8,6,7,2,6,31,8,2,57,0,13,16,10,4,1,7,5,4,11,11,0,10,1,2,2,1,4,0,7,11,6,4,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
6h1dZShmANs,https://www.youtube.com/watch?v=6h1dZShmANs,#창빈 & #필릭스 의 #락챌린지 #LALALALA_Challenge 🤘 w/ #NCT #MARK & #HAECHAN 선배님!🎵 #StrayKids #Changbin #Felix,2062.0,474521,42.0,662,257,236,69,36,30,36,50,12,27,63,20,39,59,117,39,5,16,15,16,19,0,7,29,14,8,16,5,35,7,20,3,2,11,17,2,26,11,2,6,15,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SYY0BAhwWfA,https://www.youtube.com/watch?v=SYY0BAhwWfA,💸👼 #StrayKids #스트레이키즈 #한 #HAN #필릭스 #Felix #YouMakeStrayKidsStay,5919.0,472259,43.0,2897,262,510,248,98,58,106,128,29,80,143,27,115,212,52,59,26,76,55,42,62,1,39,55,42,34,76,11,106,67,78,14,3,16,10,6,33,23,0,7,10,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
qPPWvnv1iDk,https://www.youtube.com/watch?v=qPPWvnv1iDk,🐰🐰💫 #ChkChkBoom #StrayKids #스트레이키즈 #ATE #리노 #LeeKnow #StrayKidsComeback #YouMakeStrayKidsStay,4587.0,471916,44.0,1978,244,440,283,66,51,79,102,48,45,9,40,113,140,213,143,17,17,29,51,33,1,31,29,38,42,62,3,74,8,9,14,5,12,34,11,10,18,0,14,24,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0
Hul-Hgy0PpQ,https://www.youtube.com/watch?v=Hul-Hgy0PpQ,하루 온종일 손오공이 아른아른✨#JEONGHAN#Kep1er#DAYEON#YOUNGEUN#SEVENTEEN#세븐틴#손오공#Super#SVT_Super#손오공챌린지#shorts,1847.0,469547,40.0,773,481,42,24,47,104,17,5,7,23,1,4,15,37,5,99,8,10,12,12,10,0,6,7,22,4,15,3,4,7,14,15,1,1,0,0,2,1,0,1,1,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0
jG45eqF0wIY,https://www.youtube.com/watch?v=jG45eqF0wIY,"Seungmin ""Ghost"" Cover (원곡 : Justin Bieber) | [Stray Kids : SKZ-RECORD]",17300.0,469296,46.0,6337,331,864,1033,403,371,1960,690,150,132,158,105,593,346,706,96,96,171,351,261,130,10,138,74,239,166,200,255,265,27,127,110,26,64,23,14,96,72,5,39,24,28,0,0,1,9,0,0,3,0,0,0,0,0,1,0
_nALBozDDiU,https://www.youtube.com/watch?v=_nALBozDDiU,[DINO'S DANCEOLOGY] Charlie Puth - Cheating on You (with SEUNGKWAN),11640.0,464954,45.0,5190,1126,374,962,563,438,150,58,58,257,29,115,184,707,4,136,66,23,26,94,191,23,45,50,89,190,139,56,77,32,82,11,8,9,2,4,39,11,2,9,1,7,1,1,0,0,0,0,1,0,0,0,0,0,0,0
RfJ6zqSFlOM,https://www.youtube.com/watch?v=RfJ6zqSFlOM,[Choreography Video] SEVENTEEN(세븐틴) - Left & Right,7089.0,454887,41.0,4385,349,167,212,153,368,128,16,37,148,40,32,61,208,11,82,14,26,23,35,56,14,38,26,134,80,49,28,42,10,31,15,21,5,0,3,23,5,1,0,3,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0
89fCmIOkL9o,https://www.youtube.com/watch?v=89fCmIOkL9o,"Seungmin ""Hold On"" | [Stray Kids : SKZ-RECORD]",100.0,453999,17.0,42,27,5,2,0,2,4,1,0,0,1,1,1,0,2,7,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BpFqFWdBO2o,https://www.youtube.com/watch?v=BpFqFWdBO2o,[THE BOX OST] CHANYEOL 찬열 'Without You' Track MV,89931.0,453745,54.0,32888,1435,5554,1928,3437,9008,2172,5878,654,2834,1105,395,843,2310,272,102,481,439,5267,654,1020,143,1004,401,921,1926,559,385,1208,193,819,897,78,608,16,62,479,680,35,56,8,65,1,45,468,152,1,0,3,1,1,36,1,0,2,1
Xfw2zaXt1Zw,https://www.youtube.com/watch?v=Xfw2zaXt1Zw,바람이 어디로든 이끌지 〰 👧🏻🤎 #카이 #KAI #미연 #MIYEON #Rover #KAI_Rover #RoverChallenge,909.0,451642,42.0,405,65,80,16,29,24,11,27,6,5,0,15,13,18,14,1,3,14,38,5,12,0,5,5,5,31,2,2,12,1,13,4,2,6,1,5,2,5,1,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0
WJua7KEP_oE,https://www.youtube.com/watch?v=WJua7KEP_oE,SHINee 샤이니 '1 of 1' MV,25148.0,450498,45.0,16958,1154,815,751,270,189,722,166,178,392,106,100,435,424,37,87,52,51,169,120,333,47,183,99,341,170,127,66,133,48,140,22,35,19,6,17,106,32,8,7,3,21,0,3,0,1,0,0,5,0,0,0,0,0,0,0
F2uUs9MKDyA,https://www.youtube.com/watch?v=F2uUs9MKDyA,EXO 엑소 'Cream Soda' Dance Practice,31899.0,444586,46.0,10076,1615,1520,1440,1426,4891,1146,393,228,443,325,448,1015,1373,333,115,104,120,396,209,264,218,263,345,354,524,379,104,370,98,469,94,31,44,13,25,150,103,14,23,20,340,0,2,8,19,0,0,9,0,0,0,0,0,0,0
6rHn5PxMezw,https://www.youtube.com/watch?v=6rHn5PxMezw,[SPECIAL VIDEO] SEVENTEEN(세븐틴) - HOT,5025.0,436184,43.0,2494,409,235,209,158,136,133,12,24,146,21,54,77,158,13,59,21,9,23,16,31,9,19,23,151,158,72,26,30,11,28,3,13,12,0,4,12,6,1,2,1,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0
MAWM7Y9Wnd0,https://www.youtube.com/watch?v=MAWM7Y9Wnd0,[Choreography Video] SEVENTEEN(세븐틴) - 우리의 새벽은 낮보다 뜨겁다 (Our Dawn Is Hotter Than Day),7670.0,433674,43.0,4217,727,494,205,122,135,158,29,37,154,22,36,94,157,9,107,23,48,30,52,54,55,27,90,179,70,49,30,42,18,86,0,15,20,1,7,38,14,1,2,0,10,0,2,0,0,0,0,3,0,0,1,0,0,0,0
XPN2qRnAaTQ,https://www.youtube.com/watch?v=XPN2qRnAaTQ,현란한 춤사위 모여 같이 🍓🍓 #StrayKids #스트레이키즈 #리노 #LeeKnow #현진 #Hyunjin #ATE #ChkChkBoom #JJAM,3246.0,433148,44.0,1382,175,286,154,49,64,75,72,11,34,12,18,68,100,111,78,22,16,35,11,72,2,21,17,22,59,89,2,40,7,18,6,11,25,11,7,27,10,1,11,11,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0
nwd6JKdd17g,https://www.youtube.com/watch?v=nwd6JKdd17g,🐰&🦊 #특챌린지 #S_Class_Challenge #StrayKids #스트레이키즈 #리노 #LeeKnow #아이엔 #I_N #특 #S_Class #Shorts,2014.0,430072,42.0,837,140,187,70,25,22,61,82,13,11,6,11,42,45,105,95,7,17,25,15,26,0,5,13,21,13,15,2,21,4,12,6,1,6,12,3,9,5,4,5,12,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4lQZ3zd1IKg,https://www.youtube.com/watch?v=4lQZ3zd1IKg,Cover | JAEHYUN - Can't Take My Eyes Off You (Frankie Valli),13778.0,429980,49.0,4891,1211,731,782,565,1332,207,43,143,257,55,77,204,604,56,52,125,64,34,75,95,342,266,50,319,161,154,101,151,33,148,10,17,238,1,8,53,71,2,7,1,29,1,4,1,2,0,0,3,0,0,1,0,0,1,0
WLSgbUdXzIY,https://www.youtube.com/watch?v=WLSgbUdXzIY,EXO 엑소 'Obsession' (X-EXO Ver.) @EXO THE STAGE,1600.0,428782,40.0,677,49,110,57,27,54,54,36,18,30,45,6,61,43,4,3,3,3,103,25,8,3,10,13,11,26,5,7,24,2,16,33,3,6,0,1,7,8,0,0,1,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0
HC_P7elcEHs,https://www.youtube.com/watch?v=HC_P7elcEHs,NCT U 엔시티 U 'Universe (Let's Play Ball)' Dance Practice,9245.0,428597,43.0,4463,902,137,350,261,799,125,42,54,211,29,65,143,322,24,271,67,18,21,35,78,46,60,54,103,108,92,34,63,34,75,2,43,11,0,5,50,28,1,2,1,14,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2gfMlBCjvNw,https://www.youtube.com/watch?v=2gfMlBCjvNw,"SEVENTEEN(세븐틴) - 우리, 다시(Us, Again)",24695.0,428171,46.0,13618,2777,1151,641,620,1258,473,68,86,329,116,46,158,428,26,395,89,75,112,111,118,22,94,113,664,155,156,66,204,51,140,25,14,104,1,9,61,57,5,2,1,37,0,0,0,6,0,0,9,0,0,3,0,0,0,1
z4nBgm2u-sE,https://www.youtube.com/watch?v=z4nBgm2u-sE,We can keep the 🐷🐰 & 🥟💖 #StrayKids #스트레이키즈 #창빈 #Changbin #현진 #Hyunjin #ATE #ILikeIt,3015.0,427982,45.0,1096,213,379,72,87,30,69,70,11,52,7,11,80,66,89,64,13,73,47,27,74,1,28,13,24,77,41,6,32,3,27,10,31,19,12,3,33,4,2,4,8,2,1,1,0,3,0,0,0,0,0,0,0,0,0,0
nCYqZDihhFo,https://www.youtube.com/watch?v=nCYqZDihhFo,[Choreography Video] SEVENTEEN(세븐틴) - Rock with you,7489.0,427691,42.0,3628,1101,204,269,192,360,162,29,58,202,31,48,137,164,10,140,21,26,29,37,46,10,46,42,123,102,58,26,27,11,74,8,4,9,0,3,15,11,1,3,0,16,0,0,0,1,0,0,5,0,0,0,0,0,0,0
SJGtP0eiT-Q,https://www.youtube.com/watch?v=SJGtP0eiT-Q,🐷🐰💫 #ChkChkBoom #StrayKids #스트레이키즈 #ATE #창빈 #Changbin #StrayKidsComeback #YouMakeStrayKidsStay,4225.0,424829,42.0,1658,186,423,158,267,34,85,60,15,71,17,22,109,149,212,136,14,17,40,40,59,1,11,25,56,31,94,5,50,13,18,17,2,8,31,5,11,16,0,24,30,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0
hUJ3Q-dFt-8,https://www.youtube.com/watch?v=hUJ3Q-dFt-8,We are NCT 2023 💚,1415.0,422760,37.0,543,176,74,59,48,134,24,9,13,24,6,7,25,44,10,41,6,12,6,7,17,9,20,6,20,9,13,5,15,4,13,1,0,1,4,0,2,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jnnOAfZXSFM,https://www.youtube.com/watch?v=jnnOAfZXSFM,[Choreography Video]SEVENTEEN(세븐틴)-행복(HAPPINESS),10157.0,420258,42.0,4886,2423,171,318,143,266,104,10,56,278,32,36,98,200,8,146,34,136,18,55,93,10,27,30,266,59,70,28,35,16,44,2,8,7,0,3,17,11,3,2,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0
aarBJqitCJE,https://www.youtube.com/watch?v=aarBJqitCJE,[M/V] SEVENTEEN(세븐틴) _ SVT VOCAL TEAM - '바람개비',12088.0,419722,43.0,6864,875,682,453,182,253,236,33,70,152,88,78,175,291,9,87,44,124,42,93,130,21,60,82,203,78,106,59,139,54,112,8,77,25,0,3,59,27,3,0,1,6,0,0,0,1,0,0,2,0,0,0,1,0,0,0
b4ZS8PFL0hc,https://www.youtube.com/watch?v=b4ZS8PFL0hc,"SANA, TZUYU - What is Love?💃🕺💕(Pulp Fiction 2021 ver.) #TWICE #트와이스 #WhatIsLoveRecharting",2930.0,418135,43.0,834,117,175,351,149,51,67,92,27,47,22,36,28,91,5,230,63,84,49,41,16,4,22,10,29,39,62,17,36,5,10,6,6,16,0,10,18,14,31,0,1,11,0,0,1,5,0,0,2,0,0,0,0,0,0,0
oJWYUOTGrMA,https://www.youtube.com/watch?v=oJWYUOTGrMA,[Choreography Video] SEVENTEEN(세븐틴) - 숨이 차 (Getting Closer),10143.0,412771,43.0,5513,1366,270,364,170,161,239,20,40,272,36,77,173,253,15,160,32,25,18,61,121,18,64,31,187,101,72,32,54,28,65,2,23,14,0,4,26,13,2,3,0,15,0,1,0,1,0,0,1,0,0,0,0,0,0,0
loPVNjGkrz4,https://www.youtube.com/watch?v=loPVNjGkrz4,[Choreography Video] SEVENTEEN(세븐틴) - HIT,7769.0,412375,40.0,4886,751,137,227,123,195,147,8,18,142,19,76,66,165,11,174,22,10,16,36,88,16,23,23,111,70,61,16,35,18,29,2,12,8,2,0,9,8,0,1,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0
TiMqP2SU7MA,https://www.youtube.com/watch?v=TiMqP2SU7MA,[Choreography Video] SEVENTEEN (세븐틴) - 손오공,8344.0,411643,43.0,3613,1552,301,366,169,381,155,14,26,128,40,137,93,198,55,221,21,30,46,39,54,37,29,44,149,119,77,25,37,26,61,3,6,7,3,3,14,10,0,6,1,43,0,0,0,2,0,0,3,0,0,0,0,0,0,0
roQGG8IpXQ0,https://www.youtube.com/watch?v=roQGG8IpXQ0,#창빈 의 #특챌린지 #S_Class_Challenge ✨ w/ #SEVENTEEN #세븐틴 #DINO #디노 선배님!⭐ #StrayKids #스트레이키즈 #Changbin,2995.0,410737,41.0,1279,430,196,96,89,49,43,62,14,39,6,12,46,100,127,83,9,17,29,45,27,1,9,13,18,12,16,6,24,6,13,5,4,10,10,0,16,5,0,13,11,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0
nFSV1bK6-kI,https://www.youtube.com/watch?v=nFSV1bK6-kI,[Choreography Video] SEVENTEEN(세븐틴) - 마음에 불을 지펴,9050.0,402392,44.0,4221,1203,236,471,319,464,176,33,58,186,50,80,181,344,5,119,30,25,12,42,82,8,52,35,177,133,99,39,36,23,44,2,16,9,1,2,16,6,2,0,0,7,0,1,0,1,0,0,3,0,0,1,0,0,0,0
ZPREJsVKZyk,https://www.youtube.com/watch?v=ZPREJsVKZyk,멋대로 걸어 내 뜻대로🌟🐻⛰ #카이 #KAI #성화 #SEONGHWA #산 #SAN #Rover #KAI_Rover #RoverChallenge,2134.0,402145,39.0,1127,76,179,98,62,58,48,28,11,28,10,16,40,61,42,6,3,12,43,16,13,1,18,14,10,27,18,6,11,6,14,4,4,0,5,3,4,10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
E0Y3ABqK7M4,https://www.youtube.com/watch?v=E0Y3ABqK7M4,TIFFANY 티파니 'I Just Wanna Dance' MV,27157.0,402050,44.0,16501,793,1877,599,388,319,396,83,198,982,211,211,224,572,20,57,85,82,84,190,550,347,125,148,146,250,486,144,278,51,251,23,68,57,6,53,145,82,7,1,1,51,0,0,0,5,0,0,10,0,0,0,0,0,0,0
3LiU8qy59xc,https://www.youtube.com/watch?v=3LiU8qy59xc,#창빈 의 #특챌린지 #S_Class_Challenge 💫 w/ #TOMORROW_X_TOGETHER #연준 #YEONJUN ✨ #StrayKids #스트레이키즈 #Changbin,3038.0,399623,41.0,1368,250,174,133,67,79,83,111,9,40,8,13,39,93,188,54,23,14,41,15,32,0,24,13,14,7,23,5,18,8,14,7,1,4,19,1,15,8,1,8,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MogSA-vstsA,https://www.youtube.com/watch?v=MogSA-vstsA,#승민 의 #특챌린지 #S_Class_Challenge 🌠 w/ #DAY6 #데이식스 #YoungK 선배님!⭐ #StrayKids #스트레이키즈 #Seungmin #5_STAR,2783.0,394526,41.0,986,545,140,125,95,57,55,103,25,35,9,12,36,61,133,61,7,33,22,18,32,2,27,23,17,7,10,5,25,4,9,3,2,3,17,0,9,4,2,8,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
igzQMg7Qt0Q,https://www.youtube.com/watch?v=igzQMg7Qt0Q,"NAYEON ""POP!"" M/V Reaction with JEONGYEON, CHAEYOUNG",5101.0,388714,43.0,2680,296,198,92,136,74,252,34,27,150,28,28,68,137,25,187,22,60,110,31,14,16,19,9,32,30,130,43,49,4,28,24,1,13,1,10,15,10,1,0,5,4,0,0,0,6,0,0,2,0,0,0,0,0,0,0
j4Bk7F4_KVo,https://www.youtube.com/watch?v=j4Bk7F4_KVo,"Cover l DOYOUNG, JUNGWOO, RENJUN, CHENLE - 12월 24일 (d.ear)",18874.0,388590,45.0,9051,2393,465,830,496,1282,312,92,91,325,121,132,321,454,39,39,123,154,54,103,173,106,70,85,429,278,203,73,174,63,149,2,12,19,4,6,84,33,8,0,3,12,0,2,0,5,0,0,1,0,0,3,0,0,0,0
U4zFN5RzPeM,https://www.youtube.com/watch?v=U4zFN5RzPeM,INTERLUDE : RESONANCE,17700.0,386126,46.0,8816,364,309,1261,758,1424,300,111,95,547,96,161,670,645,75,20,67,55,58,107,133,51,135,89,155,240,375,102,101,73,149,7,27,22,7,9,35,15,5,10,5,7,0,2,0,4,0,0,1,0,0,2,0,0,0,0
YGXiVHTy0JE,https://www.youtube.com/watch?v=YGXiVHTy0JE,[M/V] 부석순(SEVENTEEN) - 거침없이(Just do it),12500.0,384859,43.0,5683,1684,533,963,279,253,186,53,184,303,75,53,238,441,9,132,47,32,22,87,181,31,57,86,135,130,150,57,145,44,84,6,37,10,0,9,45,17,2,1,2,9,0,0,0,3,0,0,2,0,0,0,0,0,0,0
sdGfdBxM5b8,https://www.youtube.com/watch?v=sdGfdBxM5b8,#KillinMeGood Challenge with #SANA #TWICE #트와이스 #JIHYO #지효 #ZONE,1176.0,384684,38.0,348,128,66,37,55,10,51,12,9,6,3,4,29,97,11,192,1,9,13,12,12,0,0,1,0,10,6,2,11,0,7,4,0,3,0,3,7,4,2,2,1,4,0,0,0,2,0,0,2,0,0,0,0,0,0,0
-MOzP1XooBs,https://www.youtube.com/watch?v=-MOzP1XooBs,손오공 등장💫#THE8 with #TeamSAME#SEVENTEEN #세븐틴 #손오공 #Super #SVT_Super #손오공챌린지 #shorts,1283.0,378698,37.0,431,510,70,19,23,17,13,3,19,5,2,5,14,14,8,45,2,1,7,4,10,1,5,5,7,6,4,1,3,3,2,3,0,1,0,2,5,0,0,0,0,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0
iFSi-FoE87E,https://www.youtube.com/watch?v=iFSi-FoE87E,JIHYO PERFORMANCE PROJECT Teaser,24442.0,374718,48.0,7457,197,937,1748,1035,836,628,612,143,579,194,497,1485,2787,70,167,126,90,1082,162,202,49,230,134,236,789,622,131,207,115,173,225,43,179,12,23,114,30,6,11,4,9,1,1,1,55,0,0,5,0,0,0,0,0,3,0
-VBdpZEuMdg,https://www.youtube.com/watch?v=-VBdpZEuMdg,𝒪𝑜𝒽 ℐ 𝓁𝒾𝓀𝑒 𝒾𝓉 🐥✨ #StrayKids #스트레이키즈 #ATE #ChkChkBoom #ILikeIt #YouMakeStrayKidsStay,5176.0,372025,43.0,1779,243,766,155,54,28,114,68,41,73,224,19,137,139,98,61,27,148,77,71,90,2,38,46,53,47,36,8,191,13,99,17,57,33,15,4,40,38,1,8,13,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0
GB7VIkrGybc,https://www.youtube.com/watch?v=GB7VIkrGybc,"TWICE ""The Feels"" All of The Feels Random Dance",6167.0,371199,44.0,3114,197,182,159,225,117,262,47,42,188,41,48,145,272,4,293,21,119,74,66,28,9,26,12,36,99,108,38,54,10,21,16,4,13,2,10,28,21,3,0,2,7,0,1,0,2,0,0,1,0,0,0,0,0,0,0
Xo2LbyE8U6o,https://www.youtube.com/watch?v=Xo2LbyE8U6o,"I'll give you a hug, STAY🤗💞 아이엔이 준비한 #안아줄게요챌린지 #HugMeChallenge #StrayKids #스트레이키즈 #I_N #안아줄게요 #HugMe",5597.0,369582,44.0,1757,562,565,100,75,67,148,105,27,69,19,19,136,163,354,337,27,208,54,135,54,8,22,31,53,29,75,14,60,7,35,16,3,42,36,4,19,54,1,24,75,5,0,0,0,2,0,0,0,0,0,0,1,0,0,0
zvDhHMT02Bs,https://www.youtube.com/watch?v=zvDhHMT02Bs,🐺 & 🦊 chase each other💞 #StrayKids #스트레이키즈 #방찬 #BangChan #아이엔 #I_N #ATE #ILikeIt,2619.0,368325,42.0,1102,148,313,77,71,35,52,35,15,42,6,8,73,72,77,69,7,57,34,38,39,0,12,17,26,11,35,3,25,8,21,6,7,13,14,1,16,12,0,3,14,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0
TCS16wXGsJg,https://www.youtube.com/watch?v=TCS16wXGsJg,STAY의 덕담을 과식🥄했던 추석 연휴 끝🥹 #StrayKids #스트레이키즈 #YouMakeStrayKidsStay,3382.0,362540,43.0,1195,304,401,105,87,33,72,66,27,47,37,21,78,122,73,74,11,131,47,40,33,1,30,26,29,30,41,10,57,19,33,6,1,17,6,4,26,18,0,3,12,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0
uQWL0AA_HQo,https://www.youtube.com/watch?v=uQWL0AA_HQo,[Choreography Video] SEVENTEEN(세븐틴) - 독 : Fear,6324.0,362442,40.0,3974,636,134,160,143,136,113,13,19,109,13,31,69,132,11,123,13,17,10,37,66,23,18,17,77,51,39,18,24,15,32,3,18,5,0,1,12,8,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
PLSQhFxBsas,https://www.youtube.com/watch?v=PLSQhFxBsas,"Agust D 'People' Live Clip (90"") | SUGA: Road to D-DAY",10364.0,361112,49.0,2918,421,1511,218,567,240,982,127,164,136,83,63,551,397,338,45,91,93,139,141,67,32,42,49,108,103,85,52,136,30,99,33,6,57,20,22,78,57,2,20,24,1,0,1,3,6,0,0,2,1,1,0,0,0,2,0
hsJ2c3k_XeE,https://www.youtube.com/watch?v=hsJ2c3k_XeE,YURI 유리 '빠져가 (Into You)' MV,24282.0,360497,46.0,10212,497,2169,655,267,565,359,2536,168,612,192,228,232,1155,23,43,84,244,490,242,314,59,213,207,349,300,614,101,354,82,222,65,43,52,3,32,156,73,6,1,3,24,0,3,0,29,0,0,3,0,0,0,0,0,1,0
Zb1sZ16uWBk,https://www.youtube.com/watch?v=Zb1sZ16uWBk,"Hyunjin ""long for you"" | [Stray Kids : SKZ-RECORD]",21211.0,360095,46.0,8816,1785,1258,502,247,141,1600,272,47,200,121,97,633,385,1238,348,223,216,96,174,258,6,125,41,123,457,438,77,248,19,105,27,40,235,102,11,206,78,5,76,66,57,2,1,0,3,0,0,6,0,0,0,0,0,0,0
RyJlZy3SU6k,https://www.youtube.com/watch?v=RyJlZy3SU6k,호시 (HOSHI) - STAY,18677.0,360036,45.0,7005,3617,1561,433,586,569,227,117,64,240,80,47,209,1074,67,451,61,110,76,91,62,42,68,139,219,202,508,46,141,27,130,26,67,62,7,4,51,77,2,2,0,96,0,0,2,0,6,0,5,0,0,1,0,0,0,0
ZdKCkl17iCI,https://www.youtube.com/watch?v=ZdKCkl17iCI,[SPECIAL VIDEO] SEVENTEEN(세븐틴) - '_WORLD' Band Live Session,5640.0,359806,43.0,2663,724,279,240,146,148,106,12,26,104,33,53,69,150,15,119,24,16,20,38,39,17,20,25,146,130,53,39,37,12,51,3,5,8,0,3,34,11,0,2,0,12,0,1,0,1,0,0,5,0,0,1,0,0,0,0
qJ_SF0BcASE,https://www.youtube.com/watch?v=qJ_SF0BcASE,🐰🐶🐻 dancing in #MOONLIGHTSUNRISE☀️ (SUN ver.)#TWICE #트와이스,1839.0,358678,45.0,686,119,83,46,60,12,79,7,17,19,3,5,56,46,15,351,7,7,22,9,13,3,13,4,11,19,16,19,31,1,18,2,1,5,1,3,4,10,2,1,3,5,0,0,1,2,0,0,2,0,0,0,0,0,0,0
We3r4OAz_VA,https://www.youtube.com/watch?v=We3r4OAz_VA,"[4K] ""The Feels"" GMA3: What You Need to Know Full Performance",3456.0,358436,42.0,1583,123,177,102,125,66,153,51,25,52,30,40,65,89,8,124,15,28,50,27,32,4,8,11,41,110,131,40,40,3,22,10,5,15,0,3,24,7,4,0,0,4,0,1,0,3,0,0,5,0,0,0,0,0,0,0
jzYuhnJfCl8,https://www.youtube.com/watch?v=jzYuhnJfCl8,[Choreography Video] SEVENTEEN(세븐틴) - _WORLD,5393.0,358243,43.0,2790,792,142,131,176,187,103,9,25,88,12,21,52,125,19,198,12,37,26,30,50,9,26,15,92,48,57,18,26,8,14,5,4,6,2,6,6,9,1,1,1,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AGq1nIFlkrE,https://www.youtube.com/watch?v=AGq1nIFlkrE,All eyes on our maknae👀#lookatme #트와이스 #TWICE #나연 #NAYEON #정연 #JEONGYEON#쯔위 #TZUYU,1548.0,357378,44.0,487,245,101,21,46,20,42,44,7,11,7,12,26,24,38,201,4,33,22,10,16,2,5,5,12,15,17,14,9,3,10,6,2,4,3,2,3,2,1,1,9,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0
yLdUWmJEX2U,https://www.youtube.com/watch?v=yLdUWmJEX2U,TWICE in ZEPETO Teaser,6671.0,357259,44.0,2945,227,241,284,290,135,269,73,24,122,48,203,292,198,12,167,30,93,191,76,41,1,50,26,95,112,119,23,36,27,50,31,18,13,2,12,52,14,6,0,3,5,0,0,0,12,0,0,2,0,0,1,0,0,0,0
P1LFWVEGpSk,https://www.youtube.com/watch?v=P1LFWVEGpSk,"TWICE REALITY ""TIME TO TWICE"" TDOONG High School EP.01",8776.0,354382,43.0,4951,519,236,139,270,141,282,80,56,252,39,59,129,259,2,257,30,80,217,116,52,17,53,31,60,96,95,36,43,9,40,30,3,16,2,5,22,22,5,0,1,5,0,0,0,12,0,0,7,0,0,0,0,0,0,0
lKdEeg9SNBQ,https://www.youtube.com/watch?v=lKdEeg9SNBQ,#JIHYO ❤‍🔥 #MINA ❤‍🔥 #CHAEYOUNG #TWINFLAME #TWICE #트와이스 #지효 #미나 #채영 #WithYOUth❤‍🔥 #ONESPARK💥,1376.0,352907,43.0,369,103,90,44,29,13,66,8,11,20,5,13,25,83,17,258,5,7,8,8,9,1,4,2,5,72,20,8,17,3,4,2,0,8,3,9,5,9,2,0,4,3,0,0,0,1,0,0,2,0,0,0,0,0,1,0
WGSk6zMEL6I,https://www.youtube.com/watch?v=WGSk6zMEL6I,TWICE DAHYUN #ScientistChallenge 🥽,2056.0,352825,43.0,560,347,115,82,18,58,90,29,9,69,14,14,42,61,13,243,7,23,24,24,12,6,8,16,17,16,16,11,39,1,11,12,3,15,0,4,5,8,1,0,4,3,0,1,0,1,0,0,4,0,0,0,0,0,0,0
MG_Lm-USPgQ,https://www.youtube.com/watch?v=MG_Lm-USPgQ,[GOING SEVENTEEN SPECIAL] 고잉 코멘터리 (GOING COMMENTARY),100.0,348756,10.0,41,39,2,1,3,1,1,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
